中医学症状	关系	疾病
淋沥疼痛	潜在联系	Juvenile Hyaline Fibromatosis
暑邪发热	潜在联系	Juvenile Hyaline Fibromatosis
头身困重	潜在联系	Juvenile Hyaline Fibromatosis
癥瘕痞块	潜在联系	Juvenile Hyaline Fibromatosis
脘胁胀痛	潜在联系	Juvenile Hyaline Fibromatosis
潮热	潜在联系	Juvenile Hyaline Fibromatosis
心气痛	潜在联系	Argininosuccinic Aciduria
胸膈痞闷	潜在联系	Argininosuccinic Aciduria
腐肉不去	潜在联系	Argininosuccinic Aciduria
大便燥结	潜在联系	Propionic Acidemia
舌尖红	潜在联系	Muckle-Wells Syndrome
舌糜烂	潜在联系	Muckle-Wells Syndrome
舌偏红	潜在联系	Muckle-Wells Syndrome
舌生疮	潜在联系	Muckle-Wells Syndrome
小便赤涩	潜在联系	Muckle-Wells Syndrome
血热吐紐	潜在联系	Muckle-Wells Syndrome
夜惊	潜在联系	Muckle-Wells Syndrome
妇人脏躁	潜在联系	Muckle-Wells Syndrome
不喜热饮	潜在联系	Muckle-Wells Syndrome
肝区胀痛	潜在联系	Muckle-Wells Syndrome
经水淋漓不净	潜在联系	Muckle-Wells Syndrome
两胁胀痛	潜在联系	Muckle-Wells Syndrome
淋沥疼痛	潜在联系	Muckle-Wells Syndrome
淋浊	潜在联系	Muckle-Wells Syndrome
面目悉黄	潜在联系	Muckle-Wells Syndrome
尿黄	潜在联系	Muckle-Wells Syndrome
尿色赤黄	潜在联系	Muckle-Wells Syndrome
脓痰	潜在联系	Muckle-Wells Syndrome
皮肤湿疹	潜在联系	Muckle-Wells Syndrome
热毒血痢	潜在联系	Muckle-Wells Syndrome
湿热下注	潜在联系	Muckle-Wells Syndrome
石淋涩痛	潜在联系	Muckle-Wells Syndrome
暑邪发热	潜在联系	Muckle-Wells Syndrome
嗖痛	潜在联系	Muckle-Wells Syndrome
小便黄少	潜在联系	Muckle-Wells Syndrome
胁下痞块	潜在联系	Muckle-Wells Syndrome
胸胀满	潜在联系	Muckle-Wells Syndrome
胸中满闷	潜在联系	Muckle-Wells Syndrome
胸中闷热	潜在联系	Muckle-Wells Syndrome
灼痛	潜在联系	Muckle-Wells Syndrome
足胫红肿热痛	潜在联系	Muckle-Wells Syndrome
小儿急惊风	潜在联系	Muckle-Wells Syndrome
小儿惊啼	潜在联系	Muckle-Wells Syndrome
小儿惊痫	潜在联系	Muckle-Wells Syndrome
小儿慢惊	潜在联系	Muckle-Wells Syndrome
膝酸软	潜在联系	Muckle-Wells Syndrome
血淋涩痛	潜在联系	Muckle-Wells Syndrome
身黄	潜在联系	Muckle-Wells Syndrome
肛门灼热	潜在联系	Muckle-Wells Syndrome
后重	潜在联系	Muckle-Wells Syndrome
大便出血	潜在联系	Muckle-Wells Syndrome
呃逆	潜在联系	Muckle-Wells Syndrome
乳房疼痛	潜在联系	Muckle-Wells Syndrome
乳房有块	潜在联系	Muckle-Wells Syndrome
乳癖	潜在联系	Muckle-Wells Syndrome
乳痈	潜在联系	Muckle-Wells Syndrome
牙龈红肿	潜在联系	Muckle-Wells Syndrome
小儿疳积	潜在联系	Muckle-Wells Syndrome
肠风便血	潜在联系	Muckle-Wells Syndrome
肠风下血	潜在联系	Muckle-Wells Syndrome
齿痛	潜在联系	Muckle-Wells Syndrome
粉刺	潜在联系	Muckle-Wells Syndrome
面赤	潜在联系	Muckle-Wells Syndrome
舌绛	潜在联系	Muckle-Wells Syndrome
痈疽不溃	潜在联系	Muckle-Wells Syndrome
痈疽难溃	潜在联系	Muckle-Wells Syndrome
月经过多	潜在联系	Muckle-Wells Syndrome
痔疮痛	潜在联系	Muckle-Wells Syndrome
天疱疮	潜在联系	Muckle-Wells Syndrome
实热积滞便秘	潜在联系	Muckle-Wells Syndrome
火毒疮疡	潜在联系	Muckle-Wells Syndrome
痈疮肿毒	潜在联系	Muckle-Wells Syndrome
痈肿疔疮	潜在联系	Muckle-Wells Syndrome
痈肿疮毒	潜在联系	Muckle-Wells Syndrome
痔瘘	潜在联系	Muckle-Wells Syndrome
鼻流浊涕	潜在联系	Muckle-Wells Syndrome
鼻痒	潜在联系	Muckle-Wells Syndrome
目涩	潜在联系	Muckle-Wells Syndrome
脱发	潜在联系	Muckle-Wells Syndrome
咽红	潜在联系	Muckle-Wells Syndrome
眼生翳膜	潜在联系	Muckle-Wells Syndrome
目涩痛	潜在联系	Muckle-Wells Syndrome
秃疮	潜在联系	Muckle-Wells Syndrome
暑邪发热	潜在联系	Nijmegen Breakage Syndrome
动辄汗出	潜在联系	Nijmegen Breakage Syndrome
肝区胀痛	潜在联系	Autosomal Erythropoietic Protoporphyria
小便涩痛	潜在联系	Autosomal Erythropoietic Protoporphyria
癥瘕痞块	潜在联系	Autosomal Erythropoietic Protoporphyria
脘胁胀痛	潜在联系	Autosomal Erythropoietic Protoporphyria
口臭	潜在联系	Autosomal Erythropoietic Protoporphyria
血热发斑	潜在联系	Hereditary Coproporphyria
恶心	潜在联系	Hereditary Coproporphyria
耳聋	潜在联系	Hereditary Coproporphyria
热痢	潜在联系	Hereditary Coproporphyria
血淋	潜在联系	Hereditary Coproporphyria
胀痛	潜在联系	Hereditary Coproporphyria
劳热	潜在联系	Hereditary Coproporphyria
聤耳	潜在联系	Hereditary Coproporphyria
肢体重	潜在联系	Hereditary Coproporphyria
后重	潜在联系	Hereditary Coproporphyria
乳痈肿痛	潜在联系	Hereditary Coproporphyria
暴注下泻	潜在联系	Hereditary Coproporphyria
便下脓血	潜在联系	Hereditary Coproporphyria
便血	潜在联系	Hereditary Coproporphyria
流黄涕	潜在联系	Hereditary Coproporphyria
咽红	潜在联系	Hereditary Coproporphyria
风湿热痹	潜在联系	Hereditary Coproporphyria
妇人脏躁	潜在联系	Holocarboxylase Synthetase Deficiency
恶心	潜在联系	Holocarboxylase Synthetase Deficiency
发热	潜在联系	Holocarboxylase Synthetase Deficiency
肝区胀痛	潜在联系	Holocarboxylase Synthetase Deficiency
疖肿	潜在联系	Holocarboxylase Synthetase Deficiency
流黄稠涕	潜在联系	Holocarboxylase Synthetase Deficiency
尿色偏黄	潜在联系	Holocarboxylase Synthetase Deficiency
嗖痛	潜在联系	Holocarboxylase Synthetase Deficiency
下痢臭秽	潜在联系	Holocarboxylase Synthetase Deficiency
小便涩痛	潜在联系	Holocarboxylase Synthetase Deficiency
胁肋疼痛	潜在联系	Holocarboxylase Synthetase Deficiency
胸腹胀痛	潜在联系	Holocarboxylase Synthetase Deficiency
胸膈痞闷	潜在联系	Holocarboxylase Synthetase Deficiency
胸胁闷痛	潜在联系	Holocarboxylase Synthetase Deficiency
肢体沉重	潜在联系	Holocarboxylase Synthetase Deficiency
肢体酸重	潜在联系	Holocarboxylase Synthetase Deficiency
黄水淋漓	潜在联系	Holocarboxylase Synthetase Deficiency
脘胁胀痛	潜在联系	Holocarboxylase Synthetase Deficiency
后重	潜在联系	Holocarboxylase Synthetase Deficiency
口鼻生疮	潜在联系	Holocarboxylase Synthetase Deficiency
腐肉不去	潜在联系	Holocarboxylase Synthetase Deficiency
月经提前	潜在联系	Holocarboxylase Synthetase Deficiency
肿毒	潜在联系	Holocarboxylase Synthetase Deficiency
肠痈肿痛	潜在联系	Holocarboxylase Synthetase Deficiency
咽喉不利	潜在联系	Holocarboxylase Synthetase Deficiency
咽黏膜充血	潜在联系	Holocarboxylase Synthetase Deficiency
不寐	潜在联系	Biotinidase Deficiency
大便干结难下	潜在联系	Biotinidase Deficiency
大便脓血	潜在联系	Biotinidase Deficiency
口干	潜在联系	Biotinidase Deficiency
口舌干燥	潜在联系	Biotinidase Deficiency
口生疮	潜在联系	Biotinidase Deficiency
面红	潜在联系	Biotinidase Deficiency
舌红	潜在联系	Biotinidase Deficiency
吐血	潜在联系	Biotinidase Deficiency
小便赤涩	潜在联系	Biotinidase Deficiency
小便短赤	潜在联系	Biotinidase Deficiency
心气痛	潜在联系	Biotinidase Deficiency
血热	潜在联系	Biotinidase Deficiency
血热吐紐	潜在联系	Biotinidase Deficiency
夜惊	潜在联系	Biotinidase Deficiency
不眠	潜在联系	Biotinidase Deficiency
妇人脏躁	潜在联系	Biotinidase Deficiency
血热发斑	潜在联系	Biotinidase Deficiency
血热发疹	潜在联系	Biotinidase Deficiency
便黄而黏	潜在联系	Biotinidase Deficiency
耳道流脓	潜在联系	Biotinidase Deficiency
耳内流脓	潜在联系	Biotinidase Deficiency
发热	潜在联系	Biotinidase Deficiency
发烧	潜在联系	Biotinidase Deficiency
腹胀	潜在联系	Biotinidase Deficiency
肝区胀痛	潜在联系	Biotinidase Deficiency
关节红肿热痛	潜在联系	Biotinidase Deficiency
黄疸	潜在联系	Biotinidase Deficiency
疖肿	潜在联系	Biotinidase Deficiency
口舌肿痛	潜在联系	Biotinidase Deficiency
两胁胀痛	潜在联系	Biotinidase Deficiency
流黄稠涕	潜在联系	Biotinidase Deficiency
流脓	潜在联系	Biotinidase Deficiency
纳差	潜在联系	Biotinidase Deficiency
黏液便	潜在联系	Biotinidase Deficiency
尿赤	潜在联系	Biotinidase Deficiency
尿黄如茶	潜在联系	Biotinidase Deficiency
尿混浊	潜在联系	Biotinidase Deficiency
尿急	潜在联系	Biotinidase Deficiency
呕吐	潜在联系	Biotinidase Deficiency
痞满	潜在联系	Biotinidase Deficiency
痞闷	潜在联系	Biotinidase Deficiency
浅表脓疱	潜在联系	Biotinidase Deficiency
热痹疼痛	潜在联系	Biotinidase Deficiency
热淋证	潜在联系	Biotinidase Deficiency
舌胖	潜在联系	Biotinidase Deficiency
舌体胖大	潜在联系	Biotinidase Deficiency
身热	潜在联系	Biotinidase Deficiency
蚀疮	潜在联系	Biotinidase Deficiency
湿疮脓水浸淫	潜在联系	Biotinidase Deficiency
石淋	潜在联系	Biotinidase Deficiency
石淋涩痛	潜在联系	Biotinidase Deficiency
嗖痛	潜在联系	Biotinidase Deficiency
头身困重	潜在联系	Biotinidase Deficiency
外阴红肿	潜在联系	Biotinidase Deficiency
膝酸痛	潜在联系	Biotinidase Deficiency
下血	潜在联系	Biotinidase Deficiency
小便滴沥不净	潜在联系	Biotinidase Deficiency
小便黄少	潜在联系	Biotinidase Deficiency
小便浑浊	潜在联系	Biotinidase Deficiency
小便淋浊	潜在联系	Biotinidase Deficiency
小便涩痛	潜在联系	Biotinidase Deficiency
小便痛	潜在联系	Biotinidase Deficiency
小腹满	潜在联系	Biotinidase Deficiency
小腹胀痛	潜在联系	Biotinidase Deficiency
胁肋部疼痛	潜在联系	Biotinidase Deficiency
胁肋疼痛	潜在联系	Biotinidase Deficiency
胁下痞块	潜在联系	Biotinidase Deficiency
泄泻	潜在联系	Biotinidase Deficiency
胸腹胀痛	潜在联系	Biotinidase Deficiency
胸膈痞塞	潜在联系	Biotinidase Deficiency
胸痞	潜在联系	Biotinidase Deficiency
胸脘满闷	潜在联系	Biotinidase Deficiency
胸脘痞闷	潜在联系	Biotinidase Deficiency
胸胁痞闷	潜在联系	Biotinidase Deficiency
胸胀满	潜在联系	Biotinidase Deficiency
胸中憋闷	潜在联系	Biotinidase Deficiency
胸中满闷	潜在联系	Biotinidase Deficiency
胸中闷痛	潜在联系	Biotinidase Deficiency
血淋	潜在联系	Biotinidase Deficiency
阴囊湿痒	潜在联系	Biotinidase Deficiency
阴痒	潜在联系	Biotinidase Deficiency
	潜在联系	Biotinidase Deficiency
癥瘕痞块	潜在联系	Biotinidase Deficiency
肢体沉重	潜在联系	Biotinidase Deficiency
肢体沉重	潜在联系	Biotinidase Deficiency
肢体酸重	潜在联系	Biotinidase Deficiency
灼痛	潜在联系	Biotinidase Deficiency
足胫红肿热痛	潜在联系	Biotinidase Deficiency
足膝红肿热痛	潜在联系	Biotinidase Deficiency
小儿急惊风	潜在联系	Biotinidase Deficiency
带下色赤	潜在联系	Biotinidase Deficiency
带下阴痒	潜在联系	Biotinidase Deficiency
湿痹	潜在联系	Biotinidase Deficiency
热淋	潜在联系	Biotinidase Deficiency
类风湿性关节炎	潜在联系	Biotinidase Deficiency
聤耳	潜在联系	Biotinidase Deficiency
