中成药	关系	中成药类型
冰连滴耳剂	属于	燥湿药
荡涤灵颗粒	属于	清热药
更年欣胶囊	属于	扶正药
黄连胶囊	属于	解表药
黄连双清丸	属于	清热药
交通心肾胶囊	属于	扶正药
解毒活血栓	属于	清热药
（山黎）峒丸	属于	扶正药
连柏烧伤软膏	属于	清热药
连参通淋片	属于	祛湿药
连番止泻胶囊	属于	清热药
疗癣卡西甫散	属于	解表药
疗癣卡西甫丸	属于	解表药
龙枣胶囊	属于	安神药
玛木然止泻胶囊	属于	祛瘀药
清肝毒胶囊	属于	清热药
清肝扶正胶囊	属于	清热药
清胃止痛微丸	属于	清热药
湿润烧伤膏	属于	清热药
双花百合片	属于	清热药
五味黄连丸	属于	清热药
西园喉药散	属于	化痰、止咳、平喘药
泻痢消片	属于	清热药
泻痢消丸	属于	清热药
心速宁胶囊	属于	清热药
一清滴丸	属于	清热药
一清胶囊	属于	清热药
一清片	属于	清热药
镇银膏	属于	活血化瘀药
安宫牛黄胶囊	属于	开窍药
安宫牛黄散	属于	开窍药
安宫牛黄栓	属于	开窍药
安宫牛黄丸	属于	清热药
安脑牛黄胶囊	属于	安神药
柏洁洗剂	属于	清热药
半夏和胃颗粒	属于	化痰、止咳、平喘药
荜铃胃痛颗粒	属于	理气药
冰黄软膏	属于	清热药
拨云退翳丸	属于	清热药
参柏舒阴洗液	属于	扶正药
参柏洗液	属于	清热药
参红祛瘀散结胶囊	属于	扶正药
参精止渴丸	属于	扶正药
参龙宁心胶囊	属于	扶正药
参松养心胶囊	属于	解表药
苍辛气雾剂	属于	扶正药
肠舒止泻胶囊	属于	扶正药
肠舒止泻片	属于	扶正药
除湿止痒软膏	属于	清热药
除湿止痒洗液	属于	清热药
丹桂香胶囊	属于	理气药
丹桂香颗粒	属于	理气药
当归龙荟胶囊	属于	清热药
导赤丸	属于	清热药
东方胃药胶囊	属于	理气药
儿童感热清丸	属于	清热药
肤康搽剂	属于	清热药
肤芪止痒洗剂	属于	清热药
福康片	属于	扶正药
妇宝金丸	属于	扶正药
妇科分清丸	属于	理血药
复方虎杖烧伤油	属于	扶正药
复方苦参肠炎康片	属于	清热药
复方清带灌注液	属于	清热药
复方清带散	属于	清热药
复方仙鹤草肠炎胶囊	属于	清热药
复方仙鹤草肠炎片	属于	清热药
复方栀子气雾剂	属于	清热药
复明胶囊	属于	扶正药
复明颗粒	属于	扶正药
肝胆清胶囊	属于	清热药
肝胆清片	属于	清热药
葛根芩连胶囊	属于	清热药
葛根芩连颗粒	属于	清热药
葛根芩连口服液	属于	清热药
葛根芩连片	属于	清热药
葛根芩连丸（葛根芩连微丸）	属于	清热药
参倍固肠胶囊	属于	扶正药
固肠止泻胶囊	属于	固涩药
固肠止泻丸	属于	固涩药
广羚散	属于	清热药
桂林西瓜霜含片	属于	清热药
桂龙咳喘宁胶囊	属于	化痰、止咳、平喘药
桂龙咳喘宁颗粒	属于	化痰、止咳、平喘药
桂龙咳喘宁片	属于	化痰、止咳、平喘药
蛤蚧定喘胶囊	属于	化痰、止咳、平喘药
海桂胶囊	属于	扶正药
诃苓止泻胶囊	属于	清热药
虎黄烧伤搽剂	属于	清热药
琥珀还睛丸	属于	扶正药
化毒丹	属于	清热药
化毒丸	属于	清热药
黄苦洗液	属于	清热药
黄连上清胶囊	属于	清热药
黄连上清颗粒	属于	清热药
黄连羊肝丸	属于	清热药
