化合物	关系	基因
154447-36-6	相关基因	PRKDC
154447-36-6	相关基因	PIK3CD
2,3,4-Trihydroxy-benzenepropanoic acid	相关基因	NR1H4
2,3,4-Trihydroxy-benzenepropanoic acid	相关基因	APEX1
2-propylpentanoate	相关基因	GPBAR1
2-propylpentanoate	相关基因	FABP1
2-propylpentanoate	相关基因	AR
2-propylpentanoate	相关基因	SLC22A8
2-propylpentanoate	相关基因	NR1H4
2-propylpentanoate	相关基因	FABP3
2-propylpentanoate	相关基因	CTDSP1
2-propylpentanoate	相关基因	APLNR
2-propylpentanoate	相关基因	SLC22A6
2-propylpentanoate	相关基因	HSD11B1
2-propylpentanoate	相关基因	CDC25A
2-propylpentanoate	相关基因	VDR
2-propylpentanoate	相关基因	PTPN1
3,4-Dihydroxyphenylethyl alcohol glucoside	相关基因	PRKCA
3-caffeoylquinic,acid	相关基因	PSIP1
3-caffeoylquinic,acid	相关基因	HSP90AB1
3-caffeoylquinic,acid	相关基因	MMP13
3-caffeoylquinic,acid	相关基因	HDAC1
3-caffeoylquinic,acid	相关基因	MMP12
3-caffeoylquinic,acid	相关基因	APP
3-o-caffeoylquinic,acid	相关基因	PSIP1
3-o-caffeoylquinic,acid	相关基因	HSP90AB1
3-o-caffeoylquinic,acid	相关基因	MMP13
3-o-caffeoylquinic,acid	相关基因	HDAC1
3-o-caffeoylquinic,acid	相关基因	MMP12
3-o-caffeoylquinic,acid	相关基因	APP
5,8-Dihydroxy-2-(2-phenylethyl) chromone	相关基因	HTR3A
5,8-Dihydroxy-2-(2-phenylethyl) chromone	相关基因	HTR2B
6-O-E-Feruloylajugol	相关基因	HSP90AA1
Baicalin	相关基因	TNF
Baicalin	相关基因	MAPK10
Baicalin	相关基因	AURKB
Baicalin	相关基因	SENP1
Baicalin	相关基因	KDM1A
Baicalin	相关基因	PTPN1
Berbamine	相关基因	KCNH2
Berbamine	相关基因	CHRNA2
Berbamine	相关基因	ABCC4
Berbamine	相关基因	CHRNA4
Berbamine	相关基因	BCHE
Berbamine	相关基因	SLC47A1
Berbamine	相关基因	CHRNA3
berberrubine	相关基因	CHRNA7
berberrubine	相关基因	SLC18A2
berberrubine	相关基因	KLK7
Berlambine	相关基因	SAE1
Berlambine	相关基因	BCHE
Berlambine	相关基因	UBE2I
Berlambine	相关基因	RXRA
Berlambine	相关基因	ACHE
Berlambine	相关基因	SENP8
Berlambine	相关基因	CYP1B1
Calcium valproate	相关基因	SLC22A6
Calcium valproate	相关基因	FABP3
Calcium valproate	相关基因	PTPN1
Calcium valproate	相关基因	FABP1
Calcium valproate	相关基因	SLC22A8
Calcium valproate	相关基因	HSD11B1
chlorogenetic,acid	相关基因	MMP12
chlorogenetic,acid	相关基因	APP
chlorogenetic,acid	相关基因	PSIP1
chlorogenetic,acid	相关基因	HSP90AB1
chlorogenetic,acid	相关基因	MMP13
chlorogenetic,acid	相关基因	HDAC1
Columbianadin	相关基因	PTPN1
Columbianadin	相关基因	NPY1R
Coptisine	相关基因	UBE2I
Coptisine	相关基因	RXRA
Coptisine	相关基因	CYP1B1
Coptisine	相关基因	SENP8
Coptisine	相关基因	EP300
Coptisine	相关基因	BCHE
Coptisine	相关基因	SAE1
Coptisine	相关基因	CYP3A4
Coptisine	相关基因	ACHE
COPTISINE CHLORIDE	相关基因	UBE2I
COPTISINE CHLORIDE	相关基因	RXRA
COPTISINE CHLORIDE	相关基因	CYP1B1
COPTISINE CHLORIDE	相关基因	SENP8
COPTISINE CHLORIDE	相关基因	EP300
COPTISINE CHLORIDE	相关基因	BCHE
COPTISINE CHLORIDE	相关基因	SAE1
COPTISINE CHLORIDE	相关基因	CYP3A4
COPTISINE CHLORIDE	相关基因	ACHE
coptision	相关基因	SLC18A2
coptision	相关基因	KLK7
Corchoroside A	相关基因	STAT3
Corchoroside A	相关基因	HIF1A
Corchoroside A	相关基因	KLF5
Corchoroside A	相关基因	KCNH2
Corchoroside A deglycosylation	相关基因	CDC25A
Corchoroside A deglycosylation	相关基因	CDC25C
Corchoroside A deglycosylation	相关基因	ATP12A
Corchoroside A deglycosylation	相关基因	CDC25B
DIVALPROEX SODIUM	相关基因	SLC22A6
DIVALPROEX SODIUM	相关基因	FABP3
DIVALPROEX SODIUM	相关基因	PTPN1
DIVALPROEX SODIUM	相关基因	FABP1
DIVALPROEX SODIUM	相关基因	SLC22A8
DIVALPROEX SODIUM	相关基因	HSD11B1
epiberberine	相关基因	UBE2I
epiberberine	相关基因	RXRA
epiberberine	相关基因	CYP1B1
epiberberine	相关基因	SENP8
epiberberine	相关基因	EP300
epiberberine	相关基因	BCHE
epiberberine	相关基因	SAE1
epiberberine	相关基因	CYP3A4
epiberberine	相关基因	ACHE
FERULIC ACID	相关基因	HTR2C
FERULIC ACID	相关基因	CA9
FERULIC ACID	相关基因	CA5A
