古籍方剂	关系	典籍
六甲丸	来源典籍	《普济方》卷三八二。
六神丸6	来源典籍	《普济方》卷三九七。
六神汤1	来源典籍	《圣济总录》卷七十五。
七味散	来源典籍	《千金》卷十五。
内补丸1	来源典籍	《圣惠》卷五十九。
内补散8	来源典籍	《圣惠》卷五十九。
化云汤	来源典籍	《辨证录》卷六。
化逆汤	来源典籍	《医醇剩义》卷一。
五味木香丸	来源典籍	《普济方》卷四○四。
化斑汤2	来源典籍	《疡医大全》卷三十三。
七物黄连汤	来源典籍	《千金》卷九。
双金散	来源典籍	《魏氏家藏方》卷七引《李防御五痔方》。
双金散1	来源典籍	《医方类聚》卷&mdash;八三引《修月鲁般经》。
双黄丸	来源典籍	《普济方》卷三九五。
双解泻心汤	来源典籍	《医醇剩义》卷四。
九味败毒汤	来源典籍	《外科证治全书》卷二。
九味解毒散	来源典籍	《保婴撮要》卷十二。
木香丸122	来源典籍	《幼幼新书》(古籍本)卷二十九引《庄氏家传》。
木香甘连汤	来源典籍	《赤水玄珠》卷八。
木香汤	来源典籍	《医方类聚》卷一四一引《瑞竹堂方》。
四味萸连丸	来源典籍	《医学入门》卷七。
四味香连丸	来源典籍	《医学入门》卷七。
平邪汤	来源典籍	《辨证录》卷五。
二八木丹	来源典籍	《审视瑶函》卷六。
二八通玄丹	来源典籍	《赤水玄珠》卷三十引梅东先生方。
必效丹	来源典籍	《幼幼新书》卷二十九引张涣方。
加味香连丸	来源典籍	《扶寿精方》。
加味香连丸2	来源典籍	《医学入门》卷七。
加味凉膈散3	来源典籍	《医林绳墨大全》卷八。
加味连壳丸	来源典籍	《医学入门》卷八。
加味滞下丸	来源典籍	《广笔记》。
化脾积二圣丸	来源典籍	《普济方》卷三八○引《德生堂方》。
加味黄芩汤1	来源典籍	《准绳·幼科》卷六。
加减解毒汤	来源典籍	《寿世保元》卷二。
加味清胃散1	来源典籍	《口齿类要》。
加味通元二八丹	来源典籍	《济阳纲目》卷二十二。
四神丹2	来源典籍	《活幼心书》卷下。
圣饼子6	来源典籍	《杨氏家藏方》卷四。
四黄散1	来源典籍	《活幼心书》卷下。
加减黄连解毒丸	来源典籍	《普济方》卷一六五引《海上居士秘方》。
加减黄连阿胶汤	来源典籍	《温病条辨》卷二。
加减清心莲子饮	来源典籍	《一盘珠》卷四。
加减泻心汤	来源典籍	《温病条辨》卷三。
加减泻黄散	来源典籍	《卫生宝鉴》卷十九。
归连散	来源典籍	《医方类聚》卷一四一引《施圆端效方》。
归连丸	来源典籍	《普济方》卷二一一。
四色散	来源典籍	《疡科选粹》卷七。
四色断痫丸	来源典籍	《幼科发挥》卷一。
加味三黄汤	来源典籍	《医醇剩义》卷二。
二宜散	来源典籍	《圣济总录》卷七十六。
水调膏5	来源典籍	《医方类聚》卷一九二引《施园端效方》。
水火散	来源典籍	《良朋汇集》卷三。
水火既济丸	来源典籍	《普济方》卷一七六引《德生堂方》。
水龙膏	来源典籍	《圣济总录》卷一○三。
水澄膏4	来源典籍	《丹溪心法附余》卷十六。
二金散1	来源典籍	《幼幼新书》卷三十三引张涣方。
止痢神丸	来源典籍	《脉因证治》卷上。
止啼汤1	来源典籍	《惠直堂方》卷四。
止麻清痰饮	来源典籍	《赤水玄珠》卷十二。
止麻消痰饮	来源典籍	《鲁府禁方》卷一。
加味陷胸丸	来源典籍	《张氏医通》卷十五。
扑汗方	来源典籍	《婴童百问》卷九。
四物黄连薄贴	来源典籍	《外台》卷二十四引《删繁方》。
四味茯苓汤	来源典籍	《魏氏家藏方》卷七。
四味阿胶丸	来源典籍	《鸡峰》卷十四。
加味左金汤	来源典籍	《医醇剩义》卷四。
加味左金丸	来源典籍	《集验良方》卷三。
气疝饮	来源典籍	《医学入门》卷七。
加味阴阳散	来源典籍	《寿世保元》卷六。
二黄丸	来源典籍	《圣济总录》卷一一○。
二黄丸2	来源典籍	方出《外台》卷二十五引《深师方》，名见《普济方》卷二○一。
