基因	关系	化合物
PIK3CD	相关化合物	154447-36-6
PRKDC	相关化合物	154447-36-6
PRKDC	相关化合物	4'-methoxy flavone
PRKDC	相关化合物	6-Methoxyflavone
PRKDC	相关化合物	7,4′-dihydroxyflavone
NR1H4	相关化合物	(-)-16,17-Dihydroxy-16-beta-kauran-19-oic acid
NR1H4	相关化合物	(-)-16-beta,17-Epoxykauran-19-oic acid
NR1H4	相关化合物	(-)-17-Hydroxy-16beta-kauran-19-oic acid
NR1H4	相关化合物	(-)-17-Hydroxy-16B-kauran-19-oic acid
NR1H4	相关化合物	(-)-6-beta-Hydroxy-5-beta,8-beta,9-beta,10-alpha-cleroda-3,13-dien-16,15-olid-18-oic acid
NR1H4	相关化合物	(-)-angelicoidenol-2-O-β-D-glucopyranoside deglycosylation
NR1H4	相关化合物	(-)-Epihernandulcin
NR1H4	相关化合物	(-)-guaia-l(10),11-dien-15,2-olide
NR1H4	相关化合物	(-)-isolongifolol
NR1H4	相关化合物	(+)-3,13-Clerodadien-16,15-olid-18-oic acid
NR1H4	相关化合物	(+)-Hernandulcin
NR1H4	相关化合物	(+)-methyl 9-hydroxyselina-4,11-dien-14-oate
NR1H4	相关化合物	(3S,5R,6S,9R)-megastigman-3,9-diol
NR1H4	相关化合物	(3S,5R,6S,9R)-megastigmane-3,9-diol
NR1H4	相关化合物	(4aR,5S,8R,8aR)-8-hydroxy-5-isopropyl-3,8-dimethyl-1,4a,5,6,7,8a-hexahydronaphthalen-2-one
NR1H4	相关化合物	(4R,5S,8R,9R,10S,13S)-ent-17-Hydroxy-16-oxobeyeran-19-al
NR1H4	相关化合物	(5a,8a)-2-Oxo-1(10),3,7(11)-guaiatrien-12,8-olide
NR1H4	相关化合物	(6R,9S)-9,10-dihydroxy-4-megastigmen-3-one
NR1H4	相关化合物	(7S,8S,9S,10R,13S,14S,17R)-17-ethyl-7-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,17-decahydro-1H-cyclopenta[a]phenanthrene-3,16-dione
NR1H4	相关化合物	(8R)-8-Hydroxypatchoulol
NR1H4	相关化合物	(8R,9S,10R,11R,13S,14S,15S,17E)-17-ethylidene-11,15-dihydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione
NR1H4	相关化合物	(8S)-8-Hydroxypatchoulol
NR1H4	相关化合物	(9aS,9bR)-3,6,9-trimethyl-5,7,9a,9b-tetrahydro-4H-azuleno[5,4-d]furan-2-one
NR1H4	相关化合物	(E)-4'-demethyl-6-methyleucomin
NR1H4	相关化合物	(E)-5,7-dihydroxy-3-(4'-hydroxybenzylidene) chroman-4-one
NR1H4	相关化合物	(E)-5,7-dihydroxy-6,8-dimethyl-3-(4'-hydroxybenzylidene)chroman-4-one
NR1H4	相关化合物	(S)-9-Hydroxymegastigm-5-en-4-one
NR1H4	相关化合物	(Z)-6-(2,3-Dimethyltricyclo[2.2.1.02,6]hept-3-yl)-3-methylhexadecane-3-en-2-one
NR1H4	相关化合物	1 beta,4 beta,7 alpha-trihydroxyeudcsmane
NR1H4	相关化合物	1 beta,4 beta,7 beta-trihydroxyeudcsmane
NR1H4	相关化合物	1-[(5R,8R,9S,10S,12R,13S,14S,17S)-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone
NR1H4	相关化合物	10,12-Dihydroxypicrotoxane
NR1H4	相关化合物	10-alpha-Hydroxycadin-4-en-15-al
NR1H4	相关化合物	11-Deoxy Corticosterone-d7
NR1H4	相关化合物	11-oxo-13-noralismol
NR1H4	相关化合物	12-hydroxy-hydromethylabi etate
NR1H4	相关化合物	15alpha-Hydroxy-ent-kaur-16-en-19-oic acid
NR1H4	相关化合物	15-Nor-10-hydroxy-oplopan-4-oic acid
NR1H4	相关化合物	16,17-Dihydrorostronol F
NR1H4	相关化合物	16aH-17,19-ent-Kauranediol
NR1H4	相关化合物	16-alpha,17-Dihydroxy-ent-9(11)-kauren-19-al
NR1H4	相关化合物	16-alpha,17-Dihydroxy-ent-kauran-19-oic acid
NR1H4	相关化合物	16alpha,17-dihydroxyl-ent-kauran-19-oic acid
NR1H4	相关化合物	16-alpha-Hydro-19-al-ent-kauran-17-oic acid
NR1H4	相关化合物	16-alpha-Hydro-ent-kauran-17,19-dioic acid
NR1H4	相关化合物	16beta,17-dihydroxy-(-)-kauran-19-ate-beta-D-glucose ester deglycosylation
NR1H4	相关化合物	16-beta,17-Dihydroxy-ent-kauran-19-al
NR1H4	相关化合物	16-beta,17-Dihydroxy-ent-kauran-19-oic acid
NR1H4	相关化合物	17-hydroxy-16alpha-ent-kauran-19-oic acid
NR1H4	相关化合物	17-hydroxy-16alpha-ent-kauran-19-oic,acid
NR1H4	相关化合物	17-Hydroxy-16-beta-ent-kauran-19-al
