基因	关系	古籍方剂
NR3C2	相关古籍方剂	如金丸
PTGS2	相关古籍方剂	黄连散24
DUSP3	相关古籍方剂	一搽膏
ACHE	相关古籍方剂	驻车丸3
HSD11B2	相关古籍方剂	黄连丸50
SENP8	相关古籍方剂	黄连汤44
XBP1	相关古籍方剂	黄连石膏汤
PRKDC	相关古籍方剂	黄连丸44
PRKDC	相关古籍方剂	玄妙饮1
CHRNA3	相关古籍方剂	黄连膏9
SAE1	相关古籍方剂	黄连散56
RORA	相关古籍方剂	黄连煎4
HSP90AB1	相关古籍方剂	清金凉肝散
OPRM1	相关古籍方剂	黄连散83
TNF	相关古籍方剂	加味连壳丸
MTOR	相关古籍方剂	摩障灵光膏
ADRB2	相关古籍方剂	双黄丸
HTR2C	相关古籍方剂	黄连丸54
F3	相关古籍方剂	胡黄连丸9
FKBP1B	相关古籍方剂	双金散
HTR2C	相关古籍方剂	春雪膏3
PTGS2	相关古籍方剂	黄连龙骨汤
SAE1	相关古籍方剂	乌连汤
CA14	相关古籍方剂	黄连当归汤
SENP8	相关古籍方剂	黄连散118
MTOR	相关古籍方剂	三黄丸5
ADRB3	相关古籍方剂	杀虫硫黄散
CA5B	相关古籍方剂	黄连膏7
AR	相关古籍方剂	黄连膏19
CYP3A4	相关古籍方剂	黄连散116
CA7	相关古籍方剂	加减清膈化痰丸
ACHE	相关古籍方剂	胡黄连丸6
ADRB3	相关古籍方剂	清毒汤
APP	相关古籍方剂	胡黄连丸26
SLC47A1	相关古籍方剂	白头翁汤4
EP300	相关古籍方剂	固肠丸1
HSD17B3	相关古籍方剂	养心汤5
PTGER2	相关古籍方剂	黄连丸81
CYP1B1	相关古籍方剂	清火育心汤
GPBAR1	相关古籍方剂	黄连散111
OPRD1	相关古籍方剂	胡黄连丸13
SREBF2	相关古籍方剂	二黄丸7
FKBP1A	相关古籍方剂	藿半散
CISD1	相关古籍方剂	升麻黄连丸
ACHE	相关古籍方剂	清脾抑火汤
SHBG	相关古籍方剂	加味清凉饮1
DUSP3	相关古籍方剂	当归黄连丸2
MMP9	相关古籍方剂	当归黄连丸1
HSP90AA1	相关古籍方剂	水调膏5
HDAC1	相关古籍方剂	黄连汤53
HSP90AB1	相关古籍方剂	金锁散
KLK7	相关古籍方剂	六神汤1
FABP1	相关古籍方剂	犀角丸34
SENP8	相关古籍方剂	泻心汤5
CYP1B1	相关古籍方剂	加味陷胸丸
EP300	相关古籍方剂	黄连丸55
NR2F2	相关古籍方剂	一味黄连散
MMP9	相关古籍方剂	苍金砂散
OPRM1	相关古籍方剂	交泰丸
CA5B	相关古籍方剂	胡黄连丸32
POLB	相关古籍方剂	香连丸13
FKBP1B	相关古籍方剂	败毒黄连丸
ADRB1	相关古籍方剂	解关散
DUSP3	相关古籍方剂	四味阿胶丸
HTR2B	相关古籍方剂	厚肠丹
RXRA	相关古籍方剂	宣连丸1
CHRNA2	相关古籍方剂	连艾煎
NR5A1	相关古籍方剂	黄连散39
NR2F2	相关古籍方剂	连床散
GSK3B	相关古籍方剂	黄连散43
CHRNA7	相关古籍方剂	黄连汤14
FABP1	相关古籍方剂	黄连丸38
FKBP4	相关古籍方剂	黄连膏17
SLC47A1	相关古籍方剂	黄连散114
APEX1	相关古籍方剂	黄连汤50
XBP1	相关古籍方剂	加味香连丸1
DRD4	相关古籍方剂	加味滞下丸
RXRA	相关古籍方剂	黄连散102
NR3C2	相关古籍方剂	芦荟肥儿丸2
FKBP1B	相关古籍方剂	七味散
F10	相关古籍方剂	如金丸
GABRA1	相关古籍方剂	佐金平肝健脾丸
EP300	相关古籍方剂	内补散8
LIG1	相关古籍方剂	黄连丸50
NPC1L1	相关古籍方剂	黄连散39
PRKDC	相关古籍方剂	黄连汤17
RXRA	相关古籍方剂	清火止痛汤
EP300	相关古籍方剂	黄金化毒汤
KCNA3	相关古籍方剂	黄连汤17
GABRA1	相关古籍方剂	黄连散97
PTGS2	相关古籍方剂	黄连丸39
APLNR	相关古籍方剂	五积丸1
HSP90AA1	相关古籍方剂	加味香连丸
OPRM1	相关古籍方剂	化斑汤2
PSIP1	相关古籍方剂	清中安蛔汤
NR5A1	相关古籍方剂	消炎化毒汤
SAE1	相关古籍方剂	小陷胸加大黄汤
FABP1	相关古籍方剂	黄连膏10
APEX1	相关古籍方剂	黄连散61
RBBP9	相关古籍方剂	乌龙汤1
PPP3CA	相关古籍方剂	黄连汤10
LIG1	相关古籍方剂	光明散4
HDAC1	相关古籍方剂	清金导赤散
CDC25C	相关古籍方剂	条风散
FNTA	相关古籍方剂	香连散5
SIGMAR1	相关古籍方剂	连薷汤
GAA	相关古籍方剂	酒癥丸2
KCNH2	相关古籍方剂	消渴痞丸
TYR	相关古籍方剂	黄连丸69
HTR7	相关古籍方剂	化逆汤
DHCR7	相关古籍方剂	黄连丸75
SENP8	相关古籍方剂	黄连竹茹橘皮半夏汤
FNTA	相关古籍方剂	黄连汤19
CA2	相关古籍方剂	万金膏4
HIF1A	相关古籍方剂	加味凉膈散3
FKBP5	相关古籍方剂	加味清凉饮1
OPRK1	相关古籍方剂	黄连丸90
AURKB	相关古籍方剂	黄连散62
CISD1	相关古籍方剂	黄连膏15
UBE2I	相关古籍方剂	麝香丸46
XBP1	相关古籍方剂	肥儿丸3
SLC18A2	相关古籍方剂	独圣丸3
CISD1	相关古籍方剂	黄连汤20
HTR7	相关古籍方剂	清凉救苦散
ACHE	相关古籍方剂	神仙救苦丸
GPBAR1	相关古籍方剂	芦荟肥儿丸2
PTGER2	相关古籍方剂	黄连香茹饮
NR5A1	相关古籍方剂	香黄丸1
RBBP9	相关古籍方剂	三黄丸5
EBP	相关古籍方剂	黄连散43
CASP3	相关古籍方剂	结水汤
FKBP5	相关古籍方剂	四色断痫丸
DRD4	相关古籍方剂	黄连散34
HTR2C	相关古籍方剂	胡黄连丸32
CISD1	相关古籍方剂	黄连汤50
XBP1	相关古籍方剂	蒜连丸
SREBF2	相关古籍方剂	黄连丸72
ABL1	相关古籍方剂	加味滞下丸
NPY1R	相关古籍方剂	香连丸12
DPP4	相关古籍方剂	沈氏止涎汤
NPC1L1	相关古籍方剂	夜光散
HTR7	相关古籍方剂	黄连散96
NPC1L1	相关古籍方剂	宽肠丸
RORA	相关古籍方剂	黄连散65
CYP3A4	相关古籍方剂	川连枳壳汤1
CDC25B	相关古籍方剂	启关散2
FNTA	相关古籍方剂	立圣散
POLB	相关古籍方剂	连附六一汤
CYP3A4	相关古籍方剂	透天水
SLC22A6	相关古籍方剂	神验黄连丸
MMP13	相关古籍方剂	清脏解毒汤
SLC18A2	相关古籍方剂	二黄丸7
LIG1	相关古籍方剂	水龙膏
TYR	相关古籍方剂	水调膏5
FABP1	相关古籍方剂	黄连散72
F3	相关古籍方剂	顺肝丸
UBE2I	相关古籍方剂	香连丸12
KLK7	相关古籍方剂	加减清心莲子饮
DHCR7	相关古籍方剂	黄连散99
PSIP1	相关古籍方剂	内补丸1
CA2	相关古籍方剂	剪霞膏
APP	相关古籍方剂	黄连犀角汤1
DRD2	相关古籍方剂	七圣饼子
XBP1	相关古籍方剂	消炎化毒汤
FKBP1B	相关古籍方剂	淋浇黄连汤
RXRA	相关古籍方剂	黄连汤10
CA14	相关古籍方剂	黄连化痰丸1
NR3C2	相关古籍方剂	黄连散88
EBP	相关古籍方剂	通经妙灵丸
CA14	相关古籍方剂	黄连煎3
ADRB3	相关古籍方剂	四色散
MMP12	相关古籍方剂	化逆汤
SLC18A2	相关古籍方剂	黄连饮6
FABP3	相关古籍方剂	栀连二陈汤
STAT3	相关古籍方剂	闾茹膏2
MTOR	相关古籍方剂	连石茱萸丸
MMP12	相关古籍方剂	解毒金药散
NPY1R	相关古籍方剂	胡黄连丸18
GAA	相关古籍方剂	黄连汤18
ABCC4	相关古籍方剂	连翘饮5
MTOR	相关古籍方剂	苍金砂散
PRKCA	相关古籍方剂	春雪膏3
PTGS2	相关古籍方剂	黄连膏11
CYP1B1	相关古籍方剂	大全宝光散
MMP12	相关古籍方剂	黄连散118
GSK3B	相关古籍方剂	条风散
FABP1	相关古籍方剂	胡黄连丸20
NR1H4	相关古籍方剂	黄连散31
NR3C2	相关古籍方剂	芦根清胃饮
MTOR	相关古籍方剂	黄连解毒汤2
ABL1	相关古籍方剂	黄连饮7
DUSP3	相关古籍方剂	抑青丸
SLC10A1	相关古籍方剂	黄连八味散
PTGIR	相关古籍方剂	密香散
SHBG	相关古籍方剂	加味连壳丸
CA1	相关古籍方剂	药油
HDAC1	相关古籍方剂	清热和胃丸
KCNA3	相关古籍方剂	长肉膏1
GABRA1	相关古籍方剂	栀子金花丸
CHRNA2	相关古籍方剂	黄连散116
OPRK1	相关古籍方剂	黄连散43
PRKDC	相关古籍方剂	肥儿丸3
OPRK1	相关古籍方剂	黄连散24
FABP1	相关古籍方剂	金锁散
AURKB	相关古籍方剂	琥珀金丝膏
