基因	关系	基因
CALM1	相互作用	VHL
CCNB1	相互作用	CDK2
PRKCQ	相互作用	IKBKG
IFNGR1	相互作用	PTPN11
E2F1	相互作用	TUBA4A
HSP90AB1	相互作用	PIM1
PDPK1	相互作用	PRKCQ
CCND1	相互作用	PCNA
IL2RG	相互作用	STAT1
CACNA1C	相互作用	PCBD1
ADRB2	相互作用	PRKCA
CCND1	相互作用	RB1
MAP3K1	相互作用	SLC1A5
EP300	相互作用	SMAD7
GHSR	相互作用	GHRL
MYC	相互作用	MAPK8
ETS1	相互作用	SMAD3
ATXN3	相互作用	PML
F8	相互作用	F10
XIAP	相互作用	RAC1
CD3E	相互作用	PIK3R1
ABL1	相互作用	PAX3
IL4	相互作用	IL13RA2
LRP2	相互作用	PLAU
AVP	相互作用	CRYAB
HSPD1	相互作用	NOS2
AKT2	相互作用	ESR1
PARP1	相互作用	PCNA
BIRC5	相互作用	AURKA
CCR5	相互作用	LCK
BID	相互作用	MAPK8
IL6ST	相互作用	LIF
IKBKB	相互作用	CDC37
GRIA1	相互作用	PRKACA
NFATC3	相互作用	MAPK9
SLC25A4	相互作用	GRB2
EIF2S1	相互作用	PRKCD
PCK1	相互作用	IKBKG
STAT3	相互作用	CXCR4
CTNNB1	相互作用	PCSK1
JUN	相互作用	STAT3
ITGA4	相互作用	RAC2
CALM1	相互作用	NR3C1
ACTA2	相互作用	PRKCD
APP	相互作用	UGT1A10
GRB2	相互作用	PDGFRA
AKT1	相互作用	CDKN1A
STAT3	相互作用	KDM1A
CASP7	相互作用	PSIP1
DHFR	相互作用	THBS1
CDK4	相互作用	TGFBR1
CLU	相互作用	GRB2
AKT1	相互作用	HMOX1
RB1	相互作用	CHEK2
CD27	相互作用	TRAF1
MPL	相互作用	PTPN11
GRK2	相互作用	RHO
ELANE	相互作用	UROD
APP	相互作用	TARDBP
SYK	相互作用	TUBA1A
CREB1	相互作用	CREM
MAPK8	相互作用	RET
MKI67	相互作用	SRC
CHUK	相互作用	MYH14
IGF1	相互作用	YWHAB
HSP90AA1	相互作用	PRKCQ
DLG4	相互作用	GRIA3
MMP1	相互作用	CCL13
DUSP1	相互作用	MAPK8
STAT1	相互作用	CTNNBL1
APOE	相互作用	FOXG1
EP300	相互作用	FOSL2
LTC4S	相互作用	MGST1
MYC	相互作用	RPL11
APAF1	相互作用	HSPA1B
GNAI1	相互作用	RASD1
CREBBP	相互作用	LDLR
BCL6	相互作用	IFNAR2
AHR	相互作用	RELA
CAPN3	相互作用	NFKBIA
CDKN1A	相互作用	MDM2
CHUK	相互作用	GTF2I
FGFR1	相互作用	PIK3R1
FGF7	相互作用	HSPG2
CA9	相互作用	CTNNA1
CFTR	相互作用	KCNJ1
GZMB	相互作用	VIM
CTTN	相互作用	SYK
SMN1	相互作用	UCHL1
EGFR	相互作用	SH2B3
HIF1A	相互作用	PER1
CDK5	相互作用	TOP1
VCAM1	相互作用	VCP
CREB1	相互作用	PRKACA
HTT	相互作用	TGM2
GLI3	相互作用	SMAD3
RAF1	相互作用	RFXANK
ESR1	相互作用	BAZ1B
VIM	相互作用	IKBKG
ACTC1	相互作用	PRKCE
KIT	相互作用	PIK3CG
CISH	相互作用	PRLR
AKT1	相互作用	PRKCZ
SMARCA4	相互作用	NR1H2
SMN2	相互作用	TP53
CREBBP	相互作用	KAT5
MYH9	相互作用	IKBKG
RB1	相互作用	KDM1A
ITGB4	相互作用	PRKCA
PML	相互作用	SP1
GRB2	相互作用	CUTA
CDC42	相互作用	PRKCG
CASP1	相互作用	CASP3
STAT3	相互作用	TSHR
BSG	相互作用	PAK1
KDR	相互作用	VEGFA
PRKCZ	相互作用	MAPK1
PDE4D	相互作用	PIK3CA
NFKBIA	相互作用	AURKA
CCND3	相互作用	CREB1
KCNA2	相互作用	NEU1
ALDH2	相互作用	EIF6
ERBB4	相互作用	MUC1
F8	相互作用	PROC
AHR	相互作用	SMARCA4
JUN	相互作用	MAPK1
E2F1	相互作用	SENP8
IL13	相互作用	IL13RA2
WAS	相互作用	SNX9
IGFBP5	相互作用	SERPINE1
ITGA4	相互作用	THBS1
CHUK	相互作用	SMAD3
GAPDH	相互作用	NPM1
FYN	相互作用	TYK2
CEBPB	相互作用	MMP13
SPARC	相互作用	TGFB1
RPS6	相互作用	TBL2
CNP	相互作用	PRNP
CDKN1A	相互作用	PIM1
TOP2A	相互作用	VCAM1
LCK	相互作用	VIM
HDAC1	相互作用	RB1
CDK6	相互作用	SIRT1
MS4A2	相互作用	HSP90AA1
HLA-A	相互作用	HLA-B
NTRK1	相互作用	UBB
CTNNB1	相互作用	UCHL1
NR4A1	相互作用	MAPK8
ATP2A2	相互作用	OPRD1
CASP3	相互作用	MCL1
SERPING1	相互作用	C1S
FPR1	相互作用	SAA1
IL10	相互作用	IRF5
BTK	相互作用	PRKCQ
EGFR	相互作用	PRKCD
BCL2L1	相互作用	FBP1
ADRB2	相互作用	KCNJ6
CREB1	相互作用	DYRK1A
ANXA5	相互作用	IFNGR2
CNP	相互作用	TUBA1A
MMP7	相互作用	SPP1
CTNNB1	相互作用	EGFR
BIRC5	相互作用	CASP3
ACTB	相互作用	ACTC1
CDK4	相互作用	VCP
MCL1	相互作用	MAPK1
CDKN2A	相互作用	E2F1
SMAD3	相互作用	MAGI2
CDK6	相互作用	HSF1
ARRB1	相互作用	RPS17
PARP1	相互作用	LMNA
JUN	相互作用	SOX10
TNNC1	相互作用	TRIM63
AKT1	相互作用	BRAF
TEK	相互作用	IKBKG
LCK	相互作用	STAT1
CDC25B	相互作用	SFN
CYP3A4	相互作用	POR
SMAD4	相互作用	RPS27A
ADRB2	相互作用	IL1B
HIF1A	相互作用	HSP90AA1
PSAP	相互作用	VCP
ESR1	相互作用	VCL
PARP1	相互作用	NFATC1
TLR2	相互作用	LY96
LMNA	相互作用	SREBF1
MAPK8	相互作用	SNCA
MYC	相互作用	TUBG1
RXRA	相互作用	SMN1
IL2	相互作用	IL2RA
ACTB	相互作用	NPM1
ELANE	相互作用	ITGAM
SMAD3	相互作用	HEY1
MYC	相互作用	PSMB4
GZMB	相互作用	PRKDC
DNMT1	相互作用	MECP2
EGFR	相互作用	KRT6A
CD247	相互作用	TFRC
CRYAB	相互作用	CTNNB1
ITGB1	相互作用	YWHAB
CUL4A	相互作用	CRBN
YWHAZ	相互作用	HDAC4
ITGB3	相互作用	PECAM1
FKBP4	相互作用	PRKAG2
ABL1	相互作用	TP53
CAV1	相互作用	KDR
ESR1	相互作用	ALDH18A1
HDAC6	相互作用	TUBB2B
PLG	相互作用	THBS1
HSP90AA1	相互作用	TSSK1B
HSPD1	相互作用	RPS19
EP300	相互作用	NFKB1
SERPING1	相互作用	F2
EGFR	相互作用	TLR4
CASP7	相互作用	EIF2AK2
MAPK9	相互作用	MAP2K4
DAXX	相互作用	RPS27A
TBXA2R	相互作用	PRDX4
ACTB	相互作用	ALOX5
CASP8	相互作用	NR1H4
APP	相互作用	SCD
PDGFB	相互作用	PDGFRA
BRCA1	相互作用	EGR1
CCND1	相互作用	SRC
CDK2	相互作用	RAC1
ACTG1	相互作用	EHHADH
ATM	相互作用	MDM2
SLC6A2	相互作用	SNCA
ACLY	相互作用	APP
BCL2	相互作用	BMF
JAK1	相互作用	TOP1
FCER2	相互作用	ITGB2
CDK6	相互作用	EGR1
ABL1	相互作用	PIK3R1
CFTR	相互作用	PRKCE
ITGA4	相互作用	PRKDC
EP300	相互作用	UBE2I
MMP1	相互作用	CXCL5
MSMO1	相互作用	VKORC1
DCTN1	相互作用	HDAC6
ABAT	相互作用	ESR1
CREBBP	相互作用	STAT5B
HSP90AB1	相互作用	MME
CALM1	相互作用	SLC9A1
TP53	相互作用	AXIN1
MAP3K5	相互作用	RAF1
FKBP4	相互作用	HSP90AA1
CDK4	相互作用	PCNA
EP300	相互作用	IL4
CDC20	相互作用	AURKB
IGFBP3	相互作用	PLG
PSME3	相互作用	CHEK2
HSP90AA1	相互作用	YWHAB
PARP1	相互作用	SP1
CREBBP	相互作用	IFNAR2
CCND1	相互作用	BRCA1
NCF4	相互作用	NCF1
EEF1A1	相互作用	SMAD2
BRCA1	相互作用	CREB1
GFAP	相互作用	S100B
NFKB2	相互作用	RPS27A
CDK2	相互作用	PSAT1
CREB1	相互作用	IL2
MME	相互作用	NPM1
PTPN1	相互作用	STAT3
GRB2	相互作用	HRAS
ACTB	相互作用	MYO1E
DSP	相互作用	PECAM1
ACTB	相互作用	GNA12
APP	相互作用	FKBP5
CDK2	相互作用	HADHB
PEBP1	相互作用	PIK3R1
FYN	相互作用	NTRK2
NFATC1	相互作用	HDAC4
HSP90AB1	相互作用	PGK1
MAPK7	相互作用	NR1I2
CREM	相互作用	GSK3B
DLG4	相互作用	HTR2C
AGTR1	相互作用	NOS3
APP	相互作用	LRP2
COL2A1	相互作用	PCOLCE
EIF2S1	相互作用	YWHAZ
ALB	相互作用	APOA1
PHOX2A	相互作用	CREBBP
AKT1	相互作用	HSP90AB1
PIK3R1	相互作用	TYK2
CTNNB1	相互作用	IKBKB
GRIN1	相互作用	GRIN2B
CENPE	相互作用	MAPK1
CALR	相互作用	F5
NEDD8	相互作用	RPS6
PRKCZ	相互作用	VHL
APP	相互作用	GRB2
CDC42	相互作用	HNRNPA2B1
CSF3	相互作用	CSF3R
BRAF	相互作用	MAP2K1
PRKCD	相互作用	NCF1
CDH1	相互作用	CTNNB1
CDC25B	相互作用	HRAS
EGFR	相互作用	ITGB4
CTNNB1	相互作用	PLK1
CFHR1	相互作用	LBP
SNCA	相互作用	SRC
IKBKB	相互作用	TUBB2B
APP	相互作用	CDK5R1
FGF2	相互作用	NRP1
CAV1	相互作用	ERBB2
CCNB1	相互作用	CDK7
BAD	相互作用	PIM1
ITGA4	相互作用	PSME3
GHRL	相互作用	ACE2
DYRK1A	相互作用	RB1
ELANE	相互作用	MMP9
RPL11	相互作用	RPS19
EIF4E	相互作用	EIF4EBP1
EP300	相互作用	IFNA2
