基因	关系	通路
ACE	相关通路	Pathway::PC7_5330
MAP2K1	相关通路	Pathway::PC7_7457
JUN	相关通路	Pathway::PC7_8295
KRAS	相关通路	Pathway::PC7_8431
CDH1	相关通路	Pathway::PC7_1573
PRKCA	相关通路	Pathway::PC7_4001
NOS1	相关通路	Pathway::WP289_r81078
AGTR1	相关通路	Pathway::PC7_7439
SMAD7	相关通路	Pathway::PC7_3323
MTOR	相关通路	Pathway::PC7_4749
RAC1	相关通路	Pathway::PC7_7423
KCNH1	相关通路	Pathway::PC7_6543
NTF3	相关通路	Pathway::PC7_7269
HDAC1	相关通路	Pathway::PC7_4619
CACNA1H	相关通路	Pathway::PC7_1863
PRKACA	相关通路	Pathway::PC7_8266
NCOR1	相关通路	Pathway::PC7_5322
MTNR1B	相关通路	Pathway::WP247_r74422
RAC2	相关通路	Pathway::WP382_r79951
PDGFB	相关通路	Pathway::WP51_r79977
PIK3R2	相关通路	Pathway::PC7_7478
JAK2	相关通路	Pathway::PC7_3996
RAC1	相关通路	Pathway::WP1471_r82750
VEGFA	相关通路	Pathway::PC7_6903
CDC20	相关通路	Pathway::PC7_1132
APOA1	相关通路	Pathway::PC7_2576
TTR	相关通路	Pathway::PC7_3777
CDH5	相关通路	Pathway::PC7_8664
SLC2A1	相关通路	Pathway::PC7_4466
JMJD1C	相关通路	Pathway::PC7_4449
KDR	相关通路	Pathway::PC7_4762
CAT	相关通路	Pathway::PC7_6649
TP53	相关通路	Pathway::PC7_6191
EP300	相关通路	Pathway::PC7_6918
MMP1	相关通路	Pathway::WP1984_r82941
MAP2K5	相关通路	Pathway::PC7_3698
TGFBR1	相关通路	Pathway::PC7_4284
IRS1	相关通路	Pathway::PC7_7460
HIF1A	相关通路	Pathway::PC7_6086
SMAD4	相关通路	Pathway::WP2853_r83014
TNFRSF10B	相关通路	Pathway::WP254_r84652
ICAM1	相关通路	Pathway::PC7_4773
PSMB4	相关通路	Pathway::PC7_6915
IGFBP1	相关通路	Pathway::PC7_4340
PRKCZ	相关通路	Pathway::WP2012_r82900
FGB	相关通路	Pathway::PC7_2671
GRIN1	相关通路	Pathway::WP666_r68893
MEF2A	相关通路	Pathway::PC7_5558
CHRM2	相关通路	Pathway::PC7_3992
NOD2	相关通路	Pathway::PC7_5558
HRAS	相关通路	Pathway::PC7_4583
PRKCA	相关通路	Pathway::PC7_4112
STAT1	相关通路	Pathway::PC7_7851
ITGB3	相关通路	Pathway::PC7_7493
YWHAB	相关通路	Pathway::PC7_4741
RAC2	相关通路	Pathway::PC7_7423
NSDHL	相关通路	Pathway::PC7_5326
BAD	相关通路	Pathway::WP254_r84652
ERBB4	相关通路	Pathway::PC7_2926
RAF1	相关通路	Pathway::PC7_4749
SCN1B	相关通路	Pathway::PC7_4765
F2RL1	相关通路	Pathway::PC7_2620
PSME3	相关通路	Pathway::PC7_4492
UBB	相关通路	Pathway::PC7_7427
ASS1	相关通路	Pathway::PC7_1629
CTSD	相关通路	Pathway::PC7_5323
RPL10	相关通路	Pathway::PC7_685
NFKB1	相关通路	Pathway::WP1984_r82941
NFKB1	相关通路	Pathway::PC7_2467
PYGO1	相关通路	Pathway::PC7_11610
NFKBIA	相关通路	Pathway::WP75_r83867
AKT1	相关通路	Pathway::PC7_6870
RPS6	相关通路	Pathway::WP49_r78543
MAP2K4	相关通路	Pathway::PC7_6072
BMP4	相关通路	Pathway::WP2858_r83015
CCNA2	相关通路	Pathway::PC7_6875
TAT	相关通路	Pathway::PC7_3853
HDAC1	相关通路	Pathway::PC7_7463
PRKCA	相关通路	Pathway::PC7_3328
PDPK1	相关通路	Pathway::PC7_4449
IGF2	相关通路	Pathway::PC7_7439
IGFBP3	相关通路	Pathway::PC7_8680
RB1	相关通路	Pathway::WP2261_r81197
SIN3A	相关通路	Pathway::WP138_r79958
HBEGF	相关通路	Pathway::PC7_6507
TERT	相关通路	Pathway::PC7_4340
ELK1	相关通路	Pathway::WP2637_r80029
ERBB2	相关通路	Pathway::PC7_3697
MDM2	相关通路	Pathway::PC7_12274
CCNE1	相关通路	Pathway::WP707_r82937
NRIP1	相关通路	Pathway::WP34_r72115
GAP43	相关通路	Pathway::WP2431_r84650
KRT5	相关通路	Pathway::PC7_8681
IL2	相关通路	Pathway::WP2583_r84488
MLN	相关通路	Pathway::PC7_4044
VCAM1	相关通路	Pathway::PC7_2081
MAP2K4	相关通路	Pathway::PC7_2255
LCK	相关通路	Pathway::PC7_6141
SLC10A1	相关通路	Pathway::WP2879_r79602
FGFR3	相关通路	Pathway::PC7_7444
MAP2K2	相关通路	Pathway::PC7_3433
OPRM1	相关通路	Pathway::PC7_3999
MAPK8	相关通路	Pathway::PC7_7719
EP300	相关通路	Pathway::PC7_2521
IFNG	相关通路	Pathway::WP619_r71168
CDKN1A	相关通路	Pathway::PC7_7446
