现代医学症状	关系	基因
Hyperpyrexia	相关基因	CACNA1S
Hyperpyrexia	相关基因	MTHFR
Hyperpyrexia	相关基因	SCN4A
Hyperpyrexia	相关基因	SLC16A2
Hyperpyrexia	相关基因	TG
Hyperpyrexia	相关基因	THRB
Hyperpyrexia	相关基因	TPO
Hyperpyrexia	相关基因	TRH
Hyperpyrexia	相关基因	TSHR
Hyperpyrexia	相关基因	TXNRD2
Hyperpyrexia	相关基因	DIO2
Hyperpyrexia	相关基因	SERPINA7
Hematemesis	相关基因	ACVRL1
Hematemesis	相关基因	BTK
Hematemesis	相关基因	CDC42
Hematemesis	相关基因	FYN
Hematemesis	相关基因	PSTPIP1
Hematemesis	相关基因	SRC
Hematemesis	相关基因	TFE3
Hematemesis	相关基因	WAS
Hematemesis	相关基因	WIPF1
Hematemesis	相关基因	SLPI
Hematemesis	相关基因	ACTR2
Hematemesis	相关基因	ACTR3
Hematemesis	相关基因	CTTN
Hematemesis	相关基因	GRB2
Hematemesis	相关基因	NCKIPSD
Hematemesis	相关基因	SNX9
Hematemesis	相关基因	WASF1
Jaundice	相关基因	TNF
Jaundice	相关基因	IL6
Jaundice	相关基因	ALB
Jaundice	相关基因	F2
Jaundice	相关基因	TP53
Jaundice	相关基因	CXCL8
Jaundice	相关基因	TGFB1
Jaundice	相关基因	VEGFA
Jaundice	相关基因	PTGS2
Jaundice	相关基因	CRP
Jaundice	相关基因	IL1B
Jaundice	相关基因	CD40LG
Jaundice	相关基因	STAT3
Jaundice	相关基因	IFNG
Jaundice	相关基因	KRAS
Jaundice	相关基因	MMP9
Jaundice	相关基因	GGT1
Jaundice	相关基因	CCL2
Jaundice	相关基因	TGFBR2
Jaundice	相关基因	CDKN2A
Jaundice	相关基因	IL10
Jaundice	相关基因	HOTAIR
Jaundice	相关基因	HRAS
Jaundice	相关基因	HGF
Jaundice	相关基因	MTHFR
Jaundice	相关基因	CCND1
Jaundice	相关基因	FGF2
Jaundice	相关基因	AKT1
Jaundice	相关基因	ICAM1
Jaundice	相关基因	EGFR
Jaundice	相关基因	PIK3CA
Jaundice	相关基因	MMP2
Jaundice	相关基因	GNAS
Jaundice	相关基因	PTEN
Jaundice	相关基因	CASP3
Jaundice	相关基因	MAPK1
Jaundice	相关基因	CDH1
Jaundice	相关基因	SMAD3
Jaundice	相关基因	SOD2
Jaundice	相关基因	KDR
Jaundice	相关基因	MIR21
Jaundice	相关基因	TERT
Jaundice	相关基因	IFNA1
Jaundice	相关基因	MAPK8
Jaundice	相关基因	SMAD4
Jaundice	相关基因	SERPINA1
Jaundice	相关基因	NRAS
Jaundice	相关基因	MYC
Jaundice	相关基因	CTNNB1
Jaundice	相关基因	MET
Jaundice	相关基因	SERPINE1
Jaundice	相关基因	CDKN2B-AS1
Jaundice	相关基因	HLA-DQB1
Jaundice	相关基因	H19
Jaundice	相关基因	TLR4
Jaundice	相关基因	PPARG
Jaundice	相关基因	AFP
Jaundice	相关基因	CDKN1A
Jaundice	相关基因	CD44
Jaundice	相关基因	KRT19
Jaundice	相关基因	CDK4
Jaundice	相关基因	XIST
Jaundice	相关基因	F3
Jaundice	相关基因	HIF1A
Jaundice	相关基因	RAF1
Jaundice	相关基因	INS
Jaundice	相关基因	HLA-DRB1
Jaundice	相关基因	ACE
Jaundice	相关基因	PLAU
Jaundice	相关基因	SST
Jaundice	相关基因	KRT7
Jaundice	相关基因	IFNA2
Jaundice	相关基因	CD79A
Jaundice	相关基因	CEACAM5
Jaundice	相关基因	TLR2
Jaundice	相关基因	APOE
Jaundice	相关基因	UGT1A1
Jaundice	相关基因	TIMP1
Jaundice	相关基因	TGFA
Jaundice	相关基因	GPT
Jaundice	相关基因	EPO
Jaundice	相关基因	HLA-B
Jaundice	相关基因	AGT
Jaundice	相关基因	MUC1
Jaundice	相关基因	TGFB2
Jaundice	相关基因	MAPK3
Jaundice	相关基因	FGFR1
Jaundice	相关基因	GAS5
Jaundice	相关基因	MUC2
Jaundice	相关基因	TYMS
Jaundice	相关基因	ADRB2
Jaundice	相关基因	CSF3
Jaundice	相关基因	FBN1
Jaundice	相关基因	CSF2
Jaundice	相关基因	BCL2L1
Jaundice	相关基因	RB1
