现代医学症状	关系	疾病
Hyperpyrexia	相关疾病	Thyrotoxicosis
Hematemesis	相关疾病	Wiskott-Aldrich Syndrome
Jaundice	相关疾病	Cholangiocarcinoma
Jaundice	相关疾病	Beta-Thalassemia Major
Jaundice	相关疾病	"Bile Acid Synthesis Defect, Congenital, 3"
Jaundice	相关疾病	Alpha-1-Antitrypsin Deficiency
Jaundice	相关疾病	Chronic Myeloid Leukemia
Jaundice	相关疾病	Dpagt1-Cdg
Jaundice	相关疾病	Tuberculosis
Jaundice	相关疾病	Congenital Bile Acid Synthesis Defect Type 1
Jaundice	相关疾病	Neonatal Ichthyosis-Sclerosing Cholangitis Syndrome
Jaundice	相关疾病	"Griscelli Syndrome, Type 2"
Jaundice	相关疾病	Sickle Cell Anemia
Jaundice	相关疾病	Dominant Beta-Thalassemia
Jaundice	相关疾病	Budd-Chiari Syndrome
Jaundice	相关疾病	Cholesteryl Ester Storage Disease
Jaundice	相关疾病	Wilson Disease
Jaundice	相关疾病	Osteogenic Sarcoma
Jaundice	相关疾病	Dubin-Johnson Syndrome
Jaundice	相关疾病	"Hyperbilirubinemia, Rotor Type"
Jaundice	相关疾病	"Bile Acid Synthesis Defect, Congenital, 2"
Jaundice	相关疾病	Glycogen Storage Disease Vii
Jaundice	相关疾病	Classic Galactosemia
Jaundice	相关疾病	"Epiphyseal Dysplasia, Multiple, With Early-Onset Diabetes Mellitus"
Jaundice	相关疾病	Cystic Fibrosis
Jaundice	相关疾病	Chediak-Higashi Syndrome
Jaundice	相关疾病	Autosomal Erythropoietic Protoporphyria
Jaundice	相关疾病	Hereditary Coproporphyria
Emesis	相关疾病	Nephropathic Infantile Cystinosis
Emesis	相关疾病	Mevalonic Aciduria
Emesis	相关疾病	Chronic Myeloid Leukemia
Emesis	相关疾病	Alg8-Cdg
Emesis	相关疾病	Permanent Neonatal Diabetes Mellitus
Emesis	相关疾病	Dend Syndrome
Emesis	相关疾病	Propionic Acidemia
Emesis	相关疾病	Sickle Cell Anemia
Emesis	相关疾病	Mpi-Cdg
Emesis	相关疾病	"Congenital Disorder Of Glycosylation, Type Id"
Emesis	相关疾病	"Carnitine Palmitoyltransferase Ii Deficiency, Infantile"
Emesis	相关疾病	"Pituitary Adenoma, Prolactin-Secreting"
Emesis	相关疾病	"Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes"
Emesis	相关疾病	Ornithine Transcarbamylase Deficiency
Emesis	相关疾病	Fabry Disease
Emesis	相关疾病	Cerebral Creatine Deficiency Syndrome 1
Emesis	相关疾病	Lysosomal Acid Lipase Deficiency
Emesis	相关疾病	Wilson Disease
Emesis	相关疾病	Smith-Lemli-Opitz Syndrome
Emesis	相关疾病	Hyper-Igd Syndrome
Emesis	相关疾病	Papilloma Of Choroid Plexus
Emesis	相关疾病	Multiple Myeloma
Emesis	相关疾病	Holocarboxylase Synthetase Deficiency
Emesis	相关疾病	Biotinidase Deficiency
Emesis	相关疾病	Isolated Complex I Deficiency
Emesis	相关疾病	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
Emesis	相关疾病	Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome
Emesis	相关疾病	Chylomicron Retention Disease
Emesis	相关疾病	Isovaleric Acidemia
Emesis	相关疾病	Carbamoyl-Phosphate Synthetase 1 Deficiency
Emesis	相关疾病	Glutaryl-Coa Dehydrogenase Deficiency
Emesis	相关疾病	Classic Galactosemia
Emesis	相关疾病	Familial Dysautonomia
