疾病	关系	基因
Mammary Neoplasms	相关基因	HIF1A
Mammary Neoplasms	相关基因	IFNB1
Mammary Neoplasms	相关基因	IL2RA
Mammary Neoplasms	相关基因	MOG
Mammary Neoplasms	相关基因	NOTCH3
Mammary Neoplasms	相关基因	POLG
Mammary Neoplasms	相关基因	AQP4
Mammary Neoplasms	相关基因	MBP
Mammary Neoplasms	相关基因	SELL
Mammary Neoplasms	相关基因	WDFY2
Leukemia	相关基因	WEE1
Leukemia	相关基因	CACNA1A
Leukemia	相关基因	PROS1
Leukemia	相关基因	VIM
Leukemia	相关基因	VLDLR
Leukemia	相关基因	VCAN
Leukemia	相关基因	PLAUR
Leukemia	相关基因	UCHL1
Leukemia	相关基因	PTPN11
Leukemia	相关基因	ZAP70
Leukemia	相关基因	SYK
Leukemia	相关基因	LCK
Leukemia	相关基因	JAK2
Leukemia	相关基因	ITK
Leukemia	相关基因	FYN
Leukemia	相关基因	BTK
Leukemia	相关基因	ABL1
Leukemia	相关基因	CD40
Leukemia	相关基因	TNFRSF1B
Leukemia	相关基因	TNF
Leukemia	相关基因	TUBB2B
Leukemia	相关基因	TUBA4A
Leukemia	相关基因	TPM1
Leukemia	相关基因	TFF1
Leukemia	相关基因	TSPO
Leukemia	相关基因	TRPV1
Leukemia	相关基因	TLR4
Leukemia	相关基因	TLR2
Leukemia	相关基因	CD86
Leukemia	相关基因	PLAT
Leukemia	相关基因	TSHR
Leukemia	相关基因	THRB
Leukemia	相关基因	TBXAS1
Leukemia	相关基因	MPL
Leukemia	相关基因	SLC19A2
Leukemia	相关基因	TGFBR2
Leukemia	相关基因	CD3G
Leukemia	相关基因	CD3E
Leukemia	相关基因	CD3D
Leukemia	相关基因	TRAC
Leukemia	相关基因	ST14
Leukemia	相关基因	ALDH5A1
Leukemia	相关基因	CXCL12
Leukemia	相关基因	STS
Leukemia	相关基因	ESRRB
Leukemia	相关基因	SPARC
Leukemia	相关基因	SLCO1B3
Leukemia	相关基因	SLC9A1
Leukemia	相关基因	STAT5B
Leukemia	相关基因	SIGMAR1
Leukemia	相关基因	NEU1
Leukemia	相关基因	SH2B3
Leukemia	相关基因	ATM
Leukemia	相关基因	SIK1
Leukemia	相关基因	SGK1
Leukemia	相关基因	PLK1
Leukemia	相关基因	PIM1
Leukemia	相关基因	BRAF
Leukemia	相关基因	PDE6B
Leukemia	相关基因	NQO2
Leukemia	相关基因	RPS6KA3
Leukemia	相关基因	RARA
Leukemia	相关基因	RB1
Leukemia	相关基因	FLT3
Leukemia	相关基因	RAB7A
Leukemia	相关基因	RAC2
Leukemia	相关基因	RAF1
Leukemia	相关基因	PYCR2
Leukemia	相关基因	PNP
Leukemia	相关基因	FOS
Leukemia	相关基因	F2R
Leukemia	相关基因	PML
Leukemia	相关基因	PRKCZ
Leukemia	相关基因	PRKCB
Leukemia	相关基因	P4HB
Leukemia	相关基因	PTGS1
Leukemia	相关基因	PTGFR
Leukemia	相关基因	PTGER3
Leukemia	相关基因	PSAP
Leukemia	相关基因	NPY
Leukemia	相关基因	PRODH
Leukemia	相关基因	PLOD2
Leukemia	相关基因	PLOD1
Leukemia	相关基因	KCNH2
Leukemia	相关基因	KCNA5
Leukemia	相关基因	SERPINE1
Leukemia	相关基因	SERPINF1
Leukemia	相关基因	PHYH
Leukemia	相关基因	PSAT1
Leukemia	相关基因	PIK3CD
Leukemia	相关基因	PIK3CA
Leukemia	相关基因	PTEN
Leukemia	相关基因	PPARG
Leukemia	相关基因	EHHADH
Leukemia	相关基因	PPIB
Leukemia	相关基因	PAM
Leukemia	相关基因	PAPPA
Leukemia	相关基因	PPT1
Leukemia	相关基因	NME1
Leukemia	相关基因	NR4A3
Leukemia	相关基因	NFKB1
Leukemia	相关基因	NOS3
Leukemia	相关基因	NAMPT
Leukemia	相关基因	NFKBIA
Leukemia	相关基因	SLC1A5
Leukemia	相关基因	SLC1A4
Leukemia	相关基因	L1CAM
Leukemia	相关基因	MME
Leukemia	相关基因	NQO1
Leukemia	相关基因	NAGS
Leukemia	相关基因	MPO
Leukemia	相关基因	PRTN3
Leukemia	相关基因	MYC
Leukemia	相关基因	MCFD2
Leukemia	相关基因	CDC25B
Leukemia	相关基因	SMAD2
Leukemia	相关基因	SLC16A7
Leukemia	相关基因	SLC16A1
Leukemia	相关基因	MAP3K1
Leukemia	相关基因	MAPK13
Leukemia	相关基因	MAPK1
Leukemia	相关基因	PMS2
Leukemia	相关基因	MAP2
Leukemia	相关基因	MSMO1
Leukemia	相关基因	MGMT
Leukemia	相关基因	TIMP3
Leukemia	相关基因	KIT
Leukemia	相关基因	PRNP
Leukemia	相关基因	MR1
Leukemia	相关基因	LYZ
Leukemia	相关基因	GAA
Leukemia	相关基因	KDM5D
Leukemia	相关基因	FCER2
Leukemia	相关基因	CES1
Leukemia	相关基因	LPL
Leukemia	相关基因	LTC4S
Leukemia	相关基因	LGSN
Leukemia	相关基因	LAMB1
Leukemia	相关基因	ST3GAL5
Leukemia	相关基因	KYNU
Leukemia	相关基因	KIF11
Leukemia	相关基因	CRYM
Leukemia	相关基因	JUP
Leukemia	相关基因	IDH1
Leukemia	相关基因	ACAD8
Leukemia	相关基因	KCNN4
Leukemia	相关基因	IL2RB
Leukemia	相关基因	IL2RA
Leukemia	相关基因	IL2
Leukemia	相关基因	IL13RA2
Leukemia	相关基因	IFNGR1
Leukemia	相关基因	ICAM1
Leukemia	相关基因	ITGB4
Leukemia	相关基因	ITGB3
Leukemia	相关基因	ITGB2
Leukemia	相关基因	ITGA4
Leukemia	相关基因	IGFBP7
Leukemia	相关基因	IRS1
Leukemia	相关基因	INSR
Leukemia	相关基因	ITPR2
Leukemia	相关基因	ITPR1
Leukemia	相关基因	IKBKB
Leukemia	相关基因	MCL1
Leukemia	相关基因	IGLL1
Leukemia	相关基因	IGKC
Leukemia	相关基因	HIF1A
Leukemia	相关基因	HLA-DRB1
Leukemia	相关基因	HLA-DQB1
Leukemia	相关基因	HLA-B
Leukemia	相关基因	HLA-A
Leukemia	相关基因	HRH1
Leukemia	相关基因	HGF
Leukemia	相关基因	HBB
Leukemia	相关基因	GNAI1
Leukemia	相关基因	SAR1B
Leukemia	相关基因	GCH1
Leukemia	相关基因	CSF2
Leukemia	相关基因	CSF3R
Leukemia	相关基因	PYGL
Leukemia	相关基因	GLRB
Leukemia	相关基因	GLDC
Leukemia	相关基因	GSTM1
Leukemia	相关基因	GPX1
Leukemia	相关基因	GLUL
Leukemia	相关基因	GCLC
Leukemia	相关基因	GJA1
Leukemia	相关基因	GABBR1
Leukemia	相关基因	LGALS1
Leukemia	相关基因	CCND1
Leukemia	相关基因	FBP1
Leukemia	相关基因	PTK2
Leukemia	相关基因	FLNA
Leukemia	相关基因	FN1
Leukemia	相关基因	FTH1
Leukemia	相关基因	ESR1
Leukemia	相关基因	EPOR
Leukemia	相关基因	EPCAM
Leukemia	相关基因	EGFR
Leukemia	相关基因	RNASE3
Leukemia	相关基因	EDNRB
Leukemia	相关基因	EEF1A1
Leukemia	相关基因	EGLN1
Leukemia	相关基因	XIAP
Leukemia	相关基因	TOP2A
Leukemia	相关基因	RAD51
Leukemia	相关基因	POLE
Leukemia	相关基因	POLA1
Leukemia	相关基因	DNTT
Leukemia	相关基因	DDR2
Leukemia	相关基因	DPYD
Leukemia	相关基因	SAT1
Leukemia	相关基因	DSP
Leukemia	相关基因	PLA2G4A
Leukemia	相关基因	CYBB
Leukemia	相关基因	CSRP1
Leukemia	相关基因	CDKN1A
Leukemia	相关基因	CDK6
Leukemia	相关基因	CXCR4
Leukemia	相关基因	CTPS1
Leukemia	相关基因	HSD11B1
Leukemia	相关基因	CFI
Leukemia	相关基因	CFH
Leukemia	相关基因	CFD
Leukemia	相关基因	COL1A2
Leukemia	相关基因	COL3A1
Leukemia	相关基因	COL1A1
Leukemia	相关基因	F13A1
Leukemia	相关基因	BCHE
Leukemia	相关基因	CETP
Leukemia	相关基因	TP53
Leukemia	相关基因	CD44
Leukemia	相关基因	IGF2R
Leukemia	相关基因	CAMP
Leukemia	相关基因	CAT
Leukemia	相关基因	CASP8
Leukemia	相关基因	CASP1
Leukemia	相关基因	PDE10A
Leukemia	相关基因	CAST
Leukemia	相关基因	CAPN3
Leukemia	相关基因	CALM1
Leukemia	相关基因	ATP2C1
Leukemia	相关基因	CAMK4
Leukemia	相关基因	BCR
Leukemia	相关基因	BMPR2
Leukemia	相关基因	MS4A1
Leukemia	相关基因	CD19
Leukemia	相关基因	HEXB
Leukemia	相关基因	ADRB2
Leukemia	相关基因	BAD
Leukemia	相关基因	BIRC5
Leukemia	相关基因	ABCG2
Leukemia	相关基因	ASNS
Leukemia	相关基因	AHR
Leukemia	相关基因	ALOX5
Leukemia	相关基因	BCL2
Leukemia	相关基因	APOD
Leukemia	相关基因	APOC2
Leukemia	相关基因	ANTXR2
Leukemia	相关基因	ANXA5
Leukemia	相关基因	AGT
Leukemia	相关基因	AR
Leukemia	相关基因	APP
Leukemia	相关基因	SNCA
Leukemia	相关基因	GLA
Leukemia	相关基因	ALDH7A1
Leukemia	相关基因	SERPINA1
Leukemia	相关基因	AKR1B1
Leukemia	相关基因	AKR1C2
Leukemia	相关基因	ALDH2
Leukemia	相关基因	GPT2
Leukemia	相关基因	AFG3L2
Leukemia	相关基因	AK1
Leukemia	相关基因	DBI
Leukemia	相关基因	HSPA5
Leukemia	相关基因	NT5E
Leukemia	相关基因	ALAS1
Leukemia	相关基因	HSD17B10
Leukemia	相关基因	HPGD
Prostatic Neoplasms	相关基因	ABCC4
Prostatic Neoplasms	相关基因	ACE
Prostatic Neoplasms	相关基因	ACHE
Prostatic Neoplasms	相关基因	ACP5
Prostatic Neoplasms	相关基因	ACPP
Prostatic Neoplasms	相关基因	ACSL4
Prostatic Neoplasms	相关基因	ACTA2
Prostatic Neoplasms	相关基因	ADAM9
Prostatic Neoplasms	相关基因	ADRB2
Prostatic Neoplasms	相关基因	AGTR1
Prostatic Neoplasms	相关基因	AHR
Prostatic Neoplasms	相关基因	AKR1C3
Prostatic Neoplasms	相关基因	AKT1
Prostatic Neoplasms	相关基因	AKT2
Prostatic Neoplasms	相关基因	ALAD
Prostatic Neoplasms	相关基因	AMD1
Prostatic Neoplasms	相关基因	ANXA5
Prostatic Neoplasms	相关基因	AR
Prostatic Neoplasms	相关基因	ARG2
Prostatic Neoplasms	相关基因	ATM
Prostatic Neoplasms	相关基因	AURKA
Prostatic Neoplasms	相关基因	B2M
Prostatic Neoplasms	相关基因	B4GALT4
Prostatic Neoplasms	相关基因	BAD
Prostatic Neoplasms	相关基因	BCL2
Prostatic Neoplasms	相关基因	BCL2L1
Prostatic Neoplasms	相关基因	BGLAP
Prostatic Neoplasms	相关基因	BIRC5
Prostatic Neoplasms	相关基因	BMP4
Prostatic Neoplasms	相关基因	BRAF
Prostatic Neoplasms	相关基因	CALCA
Prostatic Neoplasms	相关基因	CALR
Prostatic Neoplasms	相关基因	CASP3
Prostatic Neoplasms	相关基因	CASP7
Prostatic Neoplasms	相关基因	CASP8
Prostatic Neoplasms	相关基因	CCL2
Prostatic Neoplasms	相关基因	CCND1
Prostatic Neoplasms	相关基因	CD44
Prostatic Neoplasms	相关基因	CDK2
Prostatic Neoplasms	相关基因	CDK4
Prostatic Neoplasms	相关基因	CDK7
Prostatic Neoplasms	相关基因	CDKN1A
Prostatic Neoplasms	相关基因	CHEK2
Prostatic Neoplasms	相关基因	CHUK
Prostatic Neoplasms	相关基因	COL1A2
Prostatic Neoplasms	相关基因	COMT
Prostatic Neoplasms	相关基因	CREB1
Prostatic Neoplasms	相关基因	CREBBP
Prostatic Neoplasms	相关基因	CSRP1
Prostatic Neoplasms	相关基因	CTNNB1
Prostatic Neoplasms	相关基因	CTSB
Prostatic Neoplasms	相关基因	CTSD
Prostatic Neoplasms	相关基因	CTSH
Prostatic Neoplasms	相关基因	CXCL12
Prostatic Neoplasms	相关基因	CXCL8
Prostatic Neoplasms	相关基因	CYCS
Prostatic Neoplasms	相关基因	CYP11B2
Prostatic Neoplasms	相关基因	CYP17A1
Prostatic Neoplasms	相关基因	CYP19A1
Prostatic Neoplasms	相关基因	CYP1A1
Prostatic Neoplasms	相关基因	CYP1B1
Prostatic Neoplasms	相关基因	CYP2A6
Prostatic Neoplasms	相关基因	CYP2C19
Prostatic Neoplasms	相关基因	CYP2E1
Prostatic Neoplasms	相关基因	CYP3A4
Prostatic Neoplasms	相关基因	CYP3A43
Prostatic Neoplasms	相关基因	DCN
Prostatic Neoplasms	相关基因	DIABLO
Prostatic Neoplasms	相关基因	DNMT1
Prostatic Neoplasms	相关基因	EGF
Prostatic Neoplasms	相关基因	EGFR
Prostatic Neoplasms	相关基因	EPCAM
Prostatic Neoplasms	相关基因	EPHB2
Prostatic Neoplasms	相关基因	ERBB2
Prostatic Neoplasms	相关基因	ESR1
Prostatic Neoplasms	相关基因	ESR2
Prostatic Neoplasms	相关基因	F3
Prostatic Neoplasms	相关基因	FASN
Prostatic Neoplasms	相关基因	FGF2
Prostatic Neoplasms	相关基因	FGFR1
Prostatic Neoplasms	相关基因	FGFR2
Prostatic Neoplasms	相关基因	FGFR3
Prostatic Neoplasms	相关基因	FOS
Prostatic Neoplasms	相关基因	FSHR
Prostatic Neoplasms	相关基因	GGCX
Prostatic Neoplasms	相关基因	GHR
Prostatic Neoplasms	相关基因	GJA1
Prostatic Neoplasms	相关基因	GNMT
Prostatic Neoplasms	相关基因	GNRHR
Prostatic Neoplasms	相关基因	GSK3B
Prostatic Neoplasms	相关基因	GSTA1
Prostatic Neoplasms	相关基因	GSTM1
Prostatic Neoplasms	相关基因	GSTM2
Prostatic Neoplasms	相关基因	GSTP1
Prostatic Neoplasms	相关基因	HDAC6
Prostatic Neoplasms	相关基因	HIF1A
Prostatic Neoplasms	相关基因	HMOX1
Prostatic Neoplasms	相关基因	HPGD
Prostatic Neoplasms	相关基因	HRAS
Prostatic Neoplasms	相关基因	HS3ST3A1
Prostatic Neoplasms	相关基因	HSD17B3
Prostatic Neoplasms	相关基因	HSD17B7
Prostatic Neoplasms	相关基因	HSD3B1
