药物	关系	疾病
DB00003	治疗	Cystic Fibrosis
DB00005	治疗	Stevens-Johnson Syndrome
DB00007	治疗	Malignant Neoplasm Of Breast
DB00012	治疗	Anemia
DB00014	治疗	Malignant Neoplasm Of Breast
DB00015	治疗	Congestive Heart Failure
DB00016	治疗	Anemia
DB00026	治疗	Muckle-Wells Syndrome
DB00028	治疗	Wiskott-Aldrich Syndrome
DB00030	治疗	Diabetes Mellitus
DB00030	治疗	Diabetes Mellitus, Insulin-Dependent
DB00046	治疗	Diabetes Mellitus
DB00046	治疗	Diabetes Mellitus, Insulin-Dependent
DB00046	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00047	治疗	Diabetes Mellitus
DB00047	治疗	Diabetes Mellitus, Insulin-Dependent
DB00047	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00051	治疗	Crohn Disease
DB00065	治疗	Crohn Disease
DB00070	治疗	Follicular Lymphoma
DB00071	治疗	Diabetes Mellitus, Insulin-Dependent
DB00072	治疗	Malignant Neoplasm Of Breast
DB00073	治疗	Granulomatosis With Polyangiitis
DB00078	治疗	Follicular Lymphoma
DB00089	治疗	Prostate Cancer
DB00091	治疗	Familial Dysautonomia
DB00103	治疗	Fabry Disease
DB00140	治疗	Migraine Disorders
DB00175	治疗	Coronary Artery Disease
DB00175	治疗	Myocardial Infarction
DB00175	治疗	Cerebrovascular Accident
DB00176	治疗	Major Depressive Disorder
DB00177	治疗	Hypertensive Disease
DB00177	治疗	Congestive Heart Failure
DB00178	治疗	Congestive Heart Failure
DB00178	治疗	Hypertensive Disease
DB00178	治疗	Myocardial Infarction
DB00178	治疗	Cerebrovascular Accident
DB00180	治疗	Asthma
DB00188	治疗	Multiple Myeloma
DB00195	治疗	Hypertensive Disease
DB00201	治疗	Migraine Disorders
DB00206	治疗	Hypertensive Disease
DB00207	治疗	Sinusitis
DB00208	治疗	Cerebrovascular Accident
DB00213	治疗	Gastroesophageal Reflux Disease
DB00214	治疗	Hypertensive Disease
DB00215	治疗	Major Depressive Disorder
DB00216	治疗	Migraine Disorders
DB00218	治疗	Sinusitis
DB00222	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00232	治疗	Hypertensive Disease
DB00233	治疗	Tuberculosis
DB00235	治疗	Congestive Heart Failure
DB00244	治疗	Crohn Disease
DB00262	治疗	Glioblastoma
DB00264	治疗	Hypertensive Disease
DB00264	治疗	Migraine Disorders
DB00264	治疗	Myocardial Infarction
DB00264	治疗	Congestive Heart Failure
DB00270	治疗	Hypertensive Disease
DB00273	治疗	Alcoholic Intoxication, Chronic
DB00273	治疗	Migraine Disorders
DB00273	治疗	Mood Disorders
DB00275	治疗	Hypertensive Disease
DB00276	治疗	Leukemia
DB00283	治疗	Angioedema
DB00284	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00285	治疗	Major Depressive Disorder
DB00285	治疗	Migraine Disorders
DB00288	治疗	Inflammation
DB00291	治疗	Follicular Lymphoma
DB00297	治疗	Leukemia
DB00297	治疗	Crohn Disease
DB00297	治疗	Stevens-Johnson Syndrome
DB00297	治疗	Giant Cell Arteritis
DB00305	治疗	Malignant Neoplasm Of Breast
DB00313	治疗	Mental Depression
DB00313	治疗	Migraine Disorders
DB00314	治疗	Tuberculosis
DB00315	治疗	Migraine Disorders
DB00319	治疗	Pyogenic Bacterial Infections Due To Myd88 Deficiency
DB00320	治疗	Migraine Disorders
DB00321	治疗	Mental Depression
DB00321	治疗	Major Depressive Disorder
DB00321	治疗	Migraine Disorders
DB00325	治疗	Congestive Heart Failure
DB00331	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00332	治疗	Asthma
DB00332	治疗	Chronic Obstructive Airway Disease
DB00334	治疗	Mental Depression
DB00335	治疗	Congestive Heart Failure
DB00335	治疗	Hypertensive Disease
DB00335	治疗	Migraine Disorders
DB00335	治疗	Myocardial Infarction
DB00335	治疗	Thyrotoxicosis
DB00338	治疗	Gastric Ulcer
DB00338	治疗	Gastroesophageal Reflux Disease
DB00339	治疗	Tuberculosis
DB00343	治疗	Hypertensive Disease
DB00343	治疗	Cardiomyopathy, Dilated, 1A
DB00351	治疗	Malignant Neoplasm Of Breast
DB00361	治疗	Esophageal Neoplasms
DB00364	治疗	Gastric Ulcer
DB00364	治疗	Gastroesophageal Reflux Disease
DB00367	治疗	Endometrial Cancer
DB00367	治疗	Osteoporosis, Postmenopausal
DB00370	治疗	Depressive Disorder
DB00370	治疗	Major Depressive Disorder
DB00370	治疗	Nervous System Disorder
DB00373	治疗	Migraine Disorders
DB00380	治疗	Cardiomyopathies
DB00381	治疗	Coronary Artery Disease
DB00381	治疗	Hypertensive Disease
DB00384	治疗	Hypertensive Disease
DB00394	治疗	Asthma
DB00394	治疗	Sinusitis
DB00394	治疗	Chronic Obstructive Airway Disease
DB00398	治疗	Gastrointestinal Stromal Tumor
DB00401	治疗	Hypertensive Disease
DB00412	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00421	治疗	Congestive Heart Failure
DB00421	治疗	Hypertensive Disease
DB00424	治疗	Pancreatitis
DB00434	治疗	Muckle-Wells Syndrome
DB00434	治疗	Migraine Disorders
DB00436	治疗	Hypertensive Disease
DB00443	治疗	Leukemia
DB00443	治疗	Crohn Disease
DB00443	治疗	Stevens-Johnson Syndrome
DB00443	治疗	Giant Cell Arteritis
DB00448	治疗	Gastroesophageal Reflux Disease
DB00457	治疗	Hypertensive Disease
DB00458	治疗	Major Depressive Disorder
DB00465	治疗	Migraine Disorders
DB00465	治疗	Inflammation
DB00471	治疗	Asthma
DB00471	治疗	Asthma, Exercise-Induced
DB00472	治疗	Alcoholic Intoxication, Chronic
DB00472	治疗	Major Depressive Disorder
DB00476	治疗	Major Depressive Disorder
DB00477	治疗	Acute Intermittent Porphyria
DB00479	治疗	Tuberculosis
DB00479	治疗	Pyogenic Bacterial Infections Due To Myd88 Deficiency
DB00480	治疗	Multiple Myeloma
DB00491	治疗	Diabetes Mellitus, Non-Insulin-Dependent
DB00492	治疗	Congestive Heart Failure
DB00492	治疗	Hypertensive Disease
DB00493	治疗	Sinusitis
DB00501	治疗	Gastroesophageal Reflux Disease
DB00502	治疗	Huntington Disease
DB00515	治疗	Malignant Neoplasm Of Breast
DB00515	治疗	Esophageal Neoplasms
DB00515	治疗	Multiple Myeloma
DB00515	治疗	Osteogenic Sarcoma
DB00519	治疗	Congestive Heart Failure
DB00519	治疗	Hypertensive Disease
DB00526	治疗	Esophageal Neoplasms
DB00531	治疗	Carcinoma, Endometrioid
DB00531	治疗	Malignant Neoplasm Of Breast
DB00531	治疗	Chronic Myeloid Leukemia
DB00531	治疗	Granulomatosis With Polyangiitis
DB00531	治疗	Multiple Myeloma
DB00535	治疗	Sinusitis
DB00540	治疗	Major Depressive Disorder
DB00541	治疗	Multiple Myeloma
DB00542	治疗	Congestive Heart Failure
DB00542	治疗	Hypertensive Disease
DB00543	治疗	Depressive Disorder
DB00543	治疗	Mental Depression
DB00544	治疗	Malignant Neoplasm Of Breast
DB00544	治疗	Colonic Neoplasms
DB00544	治疗	Malignant Neoplasm Of Pancreas
DB00549	治疗	Asthma
DB00563	治疗	Malignant Neoplasm Of Breast
DB00563	治疗	Crohn Disease
DB00563	治疗	Osteogenic Sarcoma
DB00571	治疗	Coronary Artery Disease
DB00571	治疗	Hypertensive Disease
DB00571	治疗	Migraine Disorders
DB00571	治疗	Thyrotoxicosis
DB00575	治疗	Hypertensive Disease
DB00584	治疗	Hypertensive Disease
DB00585	治疗	Gastric Ulcer
DB00585	治疗	Gastroesophageal Reflux Disease
DB00586	治疗	Migraine Disorders
DB00586	治疗	Inflammation
DB00588	治疗	Asthma
DB00588	治疗	Sinusitis
DB00588	治疗	Chronic Obstructive Airway Disease
DB00590	治疗	Hypertensive Disease
DB00594	治疗	Congestive Heart Failure
DB00594	治疗	Hypertensive Disease
DB00598	治疗	Hypertensive Disease
DB00603	治疗	Osteoporosis, Postmenopausal
DB00609	治疗	Tuberculosis
DB00612	治疗	Congestive Heart Failure
DB00612	治疗	Hypertensive Disease
DB00615	治疗	Tuberculosis
DB00619	治疗	Chronic Myeloid Leukemia
DB00620	治疗	Asthma
DB00620	治疗	Crohn Disease
DB00620	治疗	Leukemia
DB00620	治疗	Giant Cell Arteritis
DB00620	治疗	Tuberculosis
DB00622	治疗	Hypertensive Disease
DB00622	治疗	Migraine Disorders
DB00627	治疗	Atherosclerosis
DB00627	治疗	Myocardial Infarction
DB00635	治疗	Chronic Obstructive Airway Disease
DB00635	治疗	Asthma
DB00635	治疗	Crohn Disease
DB00635	治疗	Giant Cell Arteritis
DB00635	治疗	Leukemia
DB00635	治疗	Stevens-Johnson Syndrome
DB00635	治疗	Takayasu Arteritis
DB00635	治疗	Thyrotoxicosis
DB00641	治疗	Diabetes Mellitus
DB00656	治疗	Alcoholic Intoxication, Chronic
DB00656	治疗	Familial Alzheimer Disease (Fad)
DB00656	治疗	Major Depressive Disorder
DB00659	治疗	Alcoholic Intoxication, Chronic
DB00661	治疗	Hypertensive Disease
DB00668	治疗	Angioedema
DB00669	治疗	Migraine Disorders
DB00671	治疗	Sinusitis
