证候	关系	中医学症状
心火亢盛	相关中医学症状	不寐
心火亢盛	相关中医学症状	大便干结
心火亢盛	相关中医学症状	大便干结难下
心火亢盛	相关中医学症状	大便脓血
心火亢盛	相关中医学症状	大便燥结
心火亢盛	相关中医学症状	口干
心火亢盛	相关中医学症状	口渴喜饮
心火亢盛	相关中医学症状	口舌干燥
心火亢盛	相关中医学症状	口舌生疮
心火亢盛	相关中医学症状	口生疮
心火亢盛	相关中医学症状	面红
心火亢盛	相关中医学症状	舌红
心火亢盛	相关中医学症状	舌尖红
心火亢盛	相关中医学症状	舌糜烂
心火亢盛	相关中医学症状	舌偏红
心火亢盛	相关中医学症状	舌生疮
心火亢盛	相关中医学症状	吐血
心火亢盛	相关中医学症状	小便赤涩
心火亢盛	相关中医学症状	小便短赤
心火亢盛	相关中医学症状	心气痛
心火亢盛	相关中医学症状	心痛
心火亢盛	相关中医学症状	血热
心火亢盛	相关中医学症状	血热吐紐
心火亢盛	相关中医学症状	血热吐衄
心火亢盛	相关中医学症状	夜惊
心火亢盛	相关中医学症状	夜啼
心火亢盛	相关中医学症状	肢体胸痛
心火亢盛	相关中医学症状	不眠
心火亢盛	相关中医学症状	妇人脏躁
心火亢盛	相关中医学症状	血热发斑
心火亢盛	相关中医学症状	血热发疹
心火亢盛	相关中医学症状	血热吐血
湿热	相关中医学症状	便黄而黏
湿热	相关中医学症状	不喜热饮
湿热	相关中医学症状	带下色黄
湿热	相关中医学症状	带下色黄质稠
湿热	相关中医学症状	恶心
湿热	相关中医学症状	耳道流脓
湿热	相关中医学症状	耳聋
湿热	相关中医学症状	耳漏
湿热	相关中医学症状	耳内流脓
湿热	相关中医学症状	耳下肿痛
湿热	相关中医学症状	发热
湿热	相关中医学症状	发烧
湿热	相关中医学症状	腹胀
湿热	相关中医学症状	腹胀满
湿热	相关中医学症状	肝区胀痛
湿热	相关中医学症状	关节红肿热痛
湿热	相关中医学症状	黄疸
湿热	相关中医学症状	肌肉红肿热痛
湿热	相关中医学症状	疖肿
湿热	相关中医学症状	经水淋漓不净
湿热	相关中医学症状	口苦
湿热	相关中医学症状	口舌肿痛
湿热	相关中医学症状	两胁胀痛
湿热	相关中医学症状	淋沥疼痛
湿热	相关中医学症状	淋证涩痛
湿热	相关中医学症状	淋浊
湿热	相关中医学症状	流黄稠涕
湿热	相关中医学症状	流脓
湿热	相关中医学症状	流脓涕
湿热	相关中医学症状	毛发油腻
湿热	相关中医学症状	面目悉黄
湿热	相关中医学症状	目发黄
湿热	相关中医学症状	目黄
湿热	相关中医学症状	纳差
湿热	相关中医学症状	黏液便
湿热	相关中医学症状	尿赤
湿热	相关中医学症状	尿道灼热
湿热	相关中医学症状	尿黄
湿热	相关中医学症状	尿黄如茶
湿热	相关中医学症状	尿混浊
湿热	相关中医学症状	尿急
湿热	相关中医学症状	尿热
湿热	相关中医学症状	尿色赤黄
湿热	相关中医学症状	尿色偏黄
湿热	相关中医学症状	尿痛
湿热	相关中医学症状	脓腐将荆
湿热	相关中医学症状	脓疱
湿热	相关中医学症状	脓水
湿热	相关中医学症状	脓痰
湿热	相关中医学症状	呕吐
湿热	相关中医学症状	皮肤黄染
湿热	相关中医学症状	皮肤潰疡
湿热	相关中医学症状	皮肤糜烂
湿热	相关中医学症状	皮肤黏膜破溃
湿热	相关中医学症状	皮肤湿烂
湿热	相关中医学症状	皮肤湿疹
湿热	相关中医学症状	皮损呈红斑湿润
湿热	相关中医学症状	痞满
湿热	相关中医学症状	痞闷
湿热	相关中医学症状	浅表脓疱
湿热	相关中医学症状	热痹疼痛
湿热	相关中医学症状	热毒泻痢
湿热	相关中医学症状	热毒血痢
湿热	相关中医学症状	热痢
湿热	相关中医学症状	热淋涩痛
