证候	关系	现代医学症状
血热	相关现代医学症状	Carbuncle
湿热	相关现代医学症状	Chest Symptom Heaviness
湿热痞满	相关现代医学症状	Chest Symptom Heaviness
湿热	相关现代医学症状	Abdomen Distention
湿热痞满	相关现代医学症状	Abdomen Distention
湿热	相关现代医学症状	Dysentery
血热	相关现代医学症状	Hematemesis
风热	相关现代医学症状	Rhinorrhea
湿热	相关现代医学症状	Chest Symptom Discomfort
湿热	相关现代医学症状	Micturition Disorder
湿热痞满	相关现代医学症状	Chest Symptom Discomfort
血热	相关现代医学症状	Dysentery
湿热痞满	相关现代医学症状	Jaundice
血热	相关现代医学症状	Hemorrhoids
湿热	相关现代医学症状	Discoloration Urine
湿热	相关现代医学症状	Jaundice
风热	相关现代医学症状	Skin Pruritus
湿热痞满	相关现代医学症状	Discoloration Urine
湿热	相关现代医学症状	Dysuria
风热	相关现代医学症状	Convulsions
风热	相关现代医学症状	Sputum Purulent
湿热	相关现代医学症状	Convulsions
风热	相关现代医学症状	Throat Tightness
湿热	相关现代医学症状	Urine Abnormality
风热	相关现代医学症状	German Measles
胃热	相关现代医学症状	Defecation Pain
心火亢盛	相关现代医学症状	Hematemesis
血热	相关现代医学症状	Hemorrhage
湿热	相关现代医学症状	Impetigo
血热	相关现代医学症状	Menometrorrhagia
湿热	相关现代医学症状	Gonorrhea
风热	相关现代医学症状	Pseudoaphakia
风热	相关现代医学症状	Eye Pain
血热	相关现代医学症状	Hemorrhage Of Pregnancy
湿热	相关现代医学症状	Urinary Tract Pain
胃热	相关现代医学症状	Breast Swelling
血热	相关现代医学症状	Urine Rbc
风热	相关现代医学症状	Sore Throat
风热	相关现代医学症状	Throat Dry
风热	相关现代医学症状	Cataract
血热	相关现代医学症状	Tongue Disorder
风热	相关现代医学症状	Lens Opacity
胃热	相关现代医学症状	Breast Tenderness
胃热	相关现代医学症状	Abnormal Stools
血热	相关现代医学症状	Hematuria
湿热	相关现代医学症状	Hematuria
胃热	相关现代医学症状	Toothache
胃热	相关现代医学症状	Breast Pain
湿热痞满	相关现代医学症状	Micturition Disorder
湿热	相关现代医学症状	Dilation
胃热	相关现代医学症状	Constipation
胃热	相关现代医学症状	Colonic Inertia
胃热	相关现代医学症状	Breast Engorgement
湿热	相关现代医学症状	Ear Drainage
湿热	相关现代医学症状	Impetigo Contagiosa
湿热	相关现代医学症状	Micturition Burning
风热	相关现代医学症状	Sore Eye
湿热痞满	相关现代医学症状	Emesis
湿热痞满	相关现代医学症状	Dilation
湿热	相关现代医学症状	Heavy Feeling
风热	相关现代医学症状	Rash
热泻	相关现代医学症状	Tenesmus
血热	相关现代医学症状	Menorrhagia
湿热	相关现代医学症状	Urinary Tract Stone
血热	相关现代医学症状	Blood Urine Present
湿热	相关现代医学症状	Blood Urine Present
湿热	相关现代医学症状	Heaviness Of Head
湿热	相关现代医学症状	Pus Drainage
胃热	相关现代医学症状	Bulimia Nervosa
湿热	相关现代医学症状	Vaginal Discharge
湿热	相关现代医学症状	Tongue Swelling
风热	相关现代医学症状	Eye Disorder
胃热	相关现代医学症状	Gastrointestinal Discomfort
胃热	相关现代医学症状	Behavior Drinking
风热	相关现代医学症状	Vision Dim
风热	相关现代医学症状	Gingival Pain
湿热痞满	相关现代医学症状	Heavy Feeling
胃热	相关现代医学症状	Breast Mass
血热	相关现代医学症状	Miliaria
湿热	相关现代医学症状	Urine Rbc
血热	相关现代医学症状	Parotid Enlargement
风热	相关现代医学症状	Toothache
血热	相关现代医学症状	Hemorrhoid Bleeding
风热	相关现代医学症状	Alopecia
胃热	相关现代医学症状	Stomach Discomfort
血热	相关现代医学症状	Parotitis
胃热	相关现代医学症状	Bloody Stool
血热	相关现代医学症状	Appendicitis
风热	相关现代医学症状	Pharyngolaryngeal Pain
湿热痞满	相关现代医学症状	Gastric Disorder
风热	相关现代医学症状	Ocular Discomfort
血热	相关现代医学症状	Cyst
虚热	相关现代医学症状	Emaciation
湿热痞满	相关现代医学症状	Pus Drainage
风热	相关现代医学症状	Gingival Swelling
湿热痞满	相关现代医学症状	Tongue Swelling
湿热痞满	相关现代医学症状	Urinary Tract Stone
湿热痞满	相关现代医学症状	Impetigo
湿热痞满	相关现代医学症状	Heaviness Of Head
湿热痞满	相关现代医学症状	Gonorrhea
湿热	相关现代医学症状	Urine Clouding
血热	相关现代医学症状	Comedome
心火亢盛	相关现代医学症状	Xerostomia
心火亢盛	相关现代医学症状	Epigastric Pain
心火亢盛	相关现代医学症状	Insomnia
心火亢盛	相关现代医学症状	Tongue Ulcer
热泻	相关现代医学症状	Diarrhea
湿热痞满	相关现代医学症状	Abdomen Bloating
心火亢盛	相关现代医学症状	Micturition Disorder
心火亢盛	相关现代医学症状	Sleep Disturbances
心火亢盛	相关现代医学症状	Abnormal Stools
