证候	关系	疾病
风热	潜在联系	Giant Cell Arteritis
风热	潜在联系	Multiple Endocrine Neoplasia Type 4
风热	潜在联系	Adult Polyglucosan Body Disease
风热	潜在联系	Classic Galactosemia
热泻	潜在联系	Giant Cell Arteritis
热泻	潜在联系	Nijmegen Breakage Syndrome
热泻	潜在联系	Multiple Endocrine Neoplasia Type 4
热泻	潜在联系	Classic Galactosemia
热泻	潜在联系	Acrodermatitis Enteropathica
胃热	潜在联系	Multiple Endocrine Neoplasia Type 4
血热	潜在联系	Giant Cell Arteritis
血热	潜在联系	Nijmegen Breakage Syndrome
血热	潜在联系	Biotinidase Deficiency
血热	潜在联系	Classic Galactosemia
心火亢盛	潜在联系	Giant Cell Arteritis
心火亢盛	潜在联系	Budd-Chiari Syndrome
心火亢盛	潜在联系	Nijmegen Breakage Syndrome
心火亢盛	潜在联系	"Ehlers-Danlos Syndrome, Hypermobility Type"
虚热	潜在联系	Multiple Myeloma
虚热	潜在联系	Tooth Abnormalities
湿热	潜在联系	Multiple Endocrine Neoplasia Type 4
湿热	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
湿热	潜在联系	Hypertensive Disease
湿热痞满	潜在联系	Multiple Endocrine Neoplasia Type 4
湿热痞满	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
湿热痞满	潜在联系	Hypertensive Disease
