中药	关系	GOterm
HuangLian	相关GOterm	GO:0007187
HuangLian	相关GOterm	GO:0015701
HuangLian	相关GOterm	GO:0060079
HuangLian	相关GOterm	GO:0045931
HuangLian	相关GOterm	GO:0043401
HuangLian	相关GOterm	GO:0007165
HuangLian	相关GOterm	GO:0071880
HuangLian	相关GOterm	GO:0007626
HuangLian	相关GOterm	GO:0042493
HuangLian	相关GOterm	GO:0007268
HuangLian	相关GOterm	GO:0030522
HuangLian	相关GOterm	GO:0038003
HuangLian	相关GOterm	GO:0042220
HuangLian	相关GOterm	GO:0002025
HuangLian	相关GOterm	GO:0110032
HuangLian	相关GOterm	GO:1900034
HuangLian	相关GOterm	GO:0019221
HuangLian	相关GOterm	GO:0070374
HuangLian	相关GOterm	GO:0034644
HuangLian	相关GOterm	GO:0033138
