中药	关系	中医学症状
黄连	相关中医学症状	暴发火眼
黄连	相关中医学症状	暴注下泻
黄连	相关中医学症状	鼻塞
黄连	相关中医学症状	便黄而黏
黄连	相关中医学症状	便秘
黄连	相关中医学症状	不寐
黄连	相关中医学症状	不喜热饮
黄连	相关中医学症状	嘈杂
黄连	相关中医学症状	嘈杂呕吐
黄连	相关中医学症状	赤白下痢
黄连	相关中医学症状	疮疖肿痛
黄连	相关中医学症状	疮肿
黄连	相关中医学症状	大便秘结
黄连	相关中医学症状	大便脓血
黄连	相关中医学症状	毒邪未尽
黄连	相关中医学症状	多食
黄连	相关中医学症状	耳道流脓
黄连	相关中医学症状	耳漏
黄连	相关中医学症状	耳鸣
黄连	相关中医学症状	耳内流脓
黄连	相关中医学症状	发热
黄连	相关中医学症状	泛吐清水
黄连	相关中医学症状	风热感冒
黄连	相关中医学症状	感冒
黄连	相关中医学症状	肛门灼热
黄连	相关中医学症状	高热
黄连	相关中医学症状	高热不退
黄连	相关中医学症状	高热神昏
黄连	相关中医学症状	髙热
黄连	相关中医学症状	髙热不退
黄连	相关中医学症状	喉肿
黄连	相关中医学症状	黄疸
黄连	相关中医学症状	急躁易怒
黄连	相关中医学症状	惊恐
黄连	相关中医学症状	咳嗽
黄连	相关中医学症状	口疮
黄连	相关中医学症状	口舌生疮
黄连	相关中医学症状	懒言
黄连	相关中医学症状	里急后重
黄连	相关中医学症状	痢疾
黄连	相关中医学症状	流泪
黄连	相关中医学症状	流脓
黄连	相关中医学症状	流浊涕
黄连	相关中医学症状	脉弦细
黄连	相关中医学症状	眠差
黄连	相关中医学症状	目赤
黄连	相关中医学症状	目赤肿痛
黄连	相关中医学症状	目发黄
黄连	相关中医学症状	目眩
黄连	相关中医学症状	纳呆
黄连	相关中医学症状	尿赤
黄连	相关中医学症状	尿黄
黄连	相关中医学症状	尿黄如茶
黄连	相关中医学症状	胬肉攀睛
黄连	相关中医学症状	衄血
黄连	相关中医学症状	呕吐
黄连	相关中医学症状	呕吐清水
黄连	相关中医学症状	呕吐乳食
黄连	相关中医学症状	呕吐吞酸
黄连	相关中医学症状	皮肤黄染
黄连	相关中医学症状	皮肤湿烂
黄连	相关中医学症状	痞满
黄连	相关中医学症状	龋齿疼痛
黄连	相关中医学症状	善饥
黄连	相关中医学症状	少津
黄连	相关中医学症状	少寐
黄连	相关中医学症状	舌红苔黄腻
黄连	相关中医学症状	舌生疮
黄连	相关中医学症状	舌体胖大
黄连	相关中医学症状	舌体肿
黄连	相关中医学症状	舌质淡暗
黄连	相关中医学症状	舌质红少津
黄连	相关中医学症状	身黄
黄连	相关中医学症状	身目发黄
黄连	相关中医学症状	神昏
黄连	相关中医学症状	神志不清
黄连	相关中医学症状	神志昏蒙
黄连	相关中医学症状	神志昏迷
黄连	相关中医学症状	神志混乱
黄连	相关中医学症状	湿疮
黄连	相关中医学症状	湿热下注
黄连	相关中医学症状	湿疹
黄连	相关中医学症状	视物昏暗
黄连	相关中医学症状	水浆难下
黄连	相关中医学症状	睡卧不安
黄连	相关中医学症状	瞳孔散大
黄连	相关中医学症状	头部疖肿
黄连	相关中医学症状	头痛
黄连	相关中医学症状	头晕
黄连	相关中医学症状	头晕目眩
黄连	相关中医学症状	吐衄
黄连	相关中医学症状	吐泻
黄连	相关中医学症状	吐血
黄连	相关中医学症状	吞酸
黄连	相关中医学症状	畏热
黄连	相关中医学症状	胃脘嘈杂
黄连	相关中医学症状	胃脘嘈杂不适
黄连	相关中医学症状	消渴
黄连	相关中医学症状	小便短赤
黄连	相关中医学症状	泻痢
黄连	相关中医学症状	心烦
黄连	相关中医学症状	心烦不寐
黄连	相关中医学症状	心烦不宁
黄连	相关中医学症状	心慌
黄连	相关中医学症状	心悸
黄连	相关中医学症状	心悸不安
黄连	相关中医学症状	心悸不宁
黄连	相关中医学症状	形体肥胖
黄连	相关中医学症状	胸部闷痛
黄连	相关中医学症状	胸中闷热
黄连	相关中医学症状	胸中闷痛
黄连	相关中医学症状	羞明
黄连	相关中医学症状	羞明流泪
黄连	相关中医学症状	血热吐紐
黄连	相关中医学症状	血热吐衄
黄连	相关中医学症状	牙痛
黄连	相关中医学症状	牙龈肿
黄连	相关中医学症状	牙龈肿痛
黄连	相关中医学症状	咽红肿痛
黄连	相关中医学症状	咽喉肿
黄连	相关中医学症状	咽喉肿痛
黄连	相关中医学症状	咽痛
黄连	相关中医学症状	眼边刺痒
黄连	相关中医学症状	腰腹疼痛
黄连	相关中医学症状	夜寐不安
黄连	相关中医学症状	夜眠不安
黄连	相关中医学症状	夜眠不宁
黄连	相关中医学症状	易饥
黄连	相关中医学症状	痈肿
黄连	相关中医学症状	肿痛
黄连	相关中医学症状	灼热
黄连	相关中医学症状	浊涕
黄连	相关中医学症状	疔疮
