中药	关系	中成药
黄连	相关中成药	安宫牛黄胶囊
黄连	相关中成药	安宫牛黄散
黄连	相关中成药	安宫牛黄栓
黄连	相关中成药	安宫牛黄丸
黄连	相关中成药	安脑牛黄胶囊
黄连	相关中成药	柏洁洗剂
黄连	相关中成药	半夏和胃颗粒
黄连	相关中成药	荜铃胃痛颗粒
黄连	相关中成药	冰黄软膏
黄连	相关中成药	冰连滴耳剂
黄连	相关中成药	拨云退翳丸
黄连	相关中成药	参柏舒阴洗液
黄连	相关中成药	参柏洗液
黄连	相关中成药	参红祛瘀散结胶囊
黄连	相关中成药	参精止渴丸
黄连	相关中成药	参龙宁心胶囊
黄连	相关中成药	参松养心胶囊
黄连	相关中成药	苍辛气雾剂
黄连	相关中成药	肠舒止泻胶囊
黄连	相关中成药	肠舒止泻片
黄连	相关中成药	除湿止痒软膏
黄连	相关中成药	除湿止痒洗液
黄连	相关中成药	丹桂香胶囊
黄连	相关中成药	丹桂香颗粒
黄连	相关中成药	当归龙荟胶囊
黄连	相关中成药	荡涤灵颗粒
黄连	相关中成药	导赤丸
黄连	相关中成药	东方胃药胶囊
黄连	相关中成药	儿童感热清丸
黄连	相关中成药	肤康搽剂
黄连	相关中成药	肤芪止痒洗剂
黄连	相关中成药	福康片
黄连	相关中成药	妇宝金丸
黄连	相关中成药	妇科分清丸
黄连	相关中成药	复方虎杖烧伤油
黄连	相关中成药	复方苦参肠炎康片
黄连	相关中成药	复方清带灌注液
黄连	相关中成药	复方清带散
黄连	相关中成药	复方仙鹤草肠炎胶囊
黄连	相关中成药	复方仙鹤草肠炎片
黄连	相关中成药	复方栀子气雾剂
黄连	相关中成药	复明胶囊
黄连	相关中成药	复明颗粒
黄连	相关中成药	肝胆清胶囊
黄连	相关中成药	肝胆清片
黄连	相关中成药	葛根芩连胶囊
黄连	相关中成药	葛根芩连颗粒
黄连	相关中成药	葛根芩连口服液
黄连	相关中成药	葛根芩连片
黄连	相关中成药	葛根芩连丸（葛根芩连微丸）
黄连	相关中成药	更年欣胶囊
黄连	相关中成药	参倍固肠胶囊
黄连	相关中成药	固肠止泻胶囊
黄连	相关中成药	固肠止泻丸
黄连	相关中成药	广羚散
黄连	相关中成药	桂林西瓜霜含片
黄连	相关中成药	桂龙咳喘宁胶囊
黄连	相关中成药	桂龙咳喘宁颗粒
黄连	相关中成药	桂龙咳喘宁片
黄连	相关中成药	蛤蚧定喘胶囊
黄连	相关中成药	海桂胶囊
黄连	相关中成药	诃苓止泻胶囊
黄连	相关中成药	虎黄烧伤搽剂
黄连	相关中成药	琥珀还睛丸
黄连	相关中成药	化毒丹
黄连	相关中成药	化毒丸
黄连	相关中成药	黄苦洗液
黄连	相关中成药	黄连胶囊
黄连	相关中成药	黄连上清胶囊
黄连	相关中成药	黄连上清颗粒
黄连	相关中成药	黄连双清丸
黄连	相关中成药	黄连羊肝丸
黄连	相关中成药	黄蒲洁肤洗剂
黄连	相关中成药	健脾消疳丸
黄连	相关中成药	健脾止泻宁颗粒
黄连	相关中成药	降糖通脉片
黄连	相关中成药	交通心肾胶囊
黄连	相关中成药	洁康宁喷雾剂
黄连	相关中成药	解毒活血栓
黄连	相关中成药	解毒利咽丸
黄连	相关中成药	金花跌打酊
黄连	相关中成药	金花消痤胶囊
黄连	相关中成药	金花消痤颗粒
黄连	相关中成药	金利油软胶囊
黄连	相关中成药	金芪降糖胶囊
黄连	相关中成药	金芪降糖颗粒
黄连	相关中成药	金芪降糖片
