中药	关系	疾病
黄连	相关疾病	Mammary Neoplasms
黄连	相关疾病	Schizophrenia
黄连	相关疾病	Glioma Susceptibility 1
黄连	相关疾病	Leukemia
黄连	相关疾病	Prostatic Neoplasms
黄连	相关疾病	Breast Cancer
黄连	相关疾病	Malignant Neoplasm Of Breast
黄连	相关疾病	Glioblastoma
黄连	相关疾病	Depressive Disorder
黄连	相关疾病	Colorectal Neoplasms
黄连	相关疾病	Colorectal Cancer
黄连	相关疾病	Mental Depression
黄连	相关疾病	Inflammatory Bowel Diseases
黄连	相关疾病	Hypertensive Disease
黄连	相关疾病	Hepatocellular Carcinoma
黄连	相关疾病	Mood Disorders
黄连	相关疾病	Liver Carcinoma
黄连	相关疾病	Colitis
黄连	相关疾病	Prostate Cancer
黄连	相关疾病	Myocardial Infarction
黄连	相关疾病	Alzheimer Disease
黄连	相关疾病	Prostate Cancer, Hereditary, 1
黄连	相关疾病	Alzheimer'S Disease
黄连	相关疾病	Liver Cirrhosis, Experimental
黄连	相关疾病	Liver Neoplasms
黄连	相关疾病	Heart Failure
黄连	相关疾病	Esophageal Neoplasms
黄连	相关疾病	Autism
黄连	相关疾病	Familial Alzheimer Disease (Fad)
黄连	相关疾病	Major Depressive Disorder
黄连	相关疾病	Autistic Disorder
黄连	相关疾病	Asthma
黄连	相关疾病	Pancreatic Neoplasm
黄连	相关疾病	Pulmonary Disease, Chronic Obstructive
黄连	相关疾病	Chronic Obstructive Airway Disease
黄连	相关疾病	Endometrial Neoplasms
黄连	相关疾病	Crohn Disease
黄连	相关疾病	Nervous System Disorder
黄连	相关疾病	Colonic Neoplasms
黄连	相关疾病	Inflammation
黄连	相关疾病	Endometrial Cancer
黄连	相关疾病	Carcinoma, Endometrioid
黄连	相关疾病	Diabetes Mellitus, Experimental
黄连	相关疾病	Atherosclerosis
黄连	相关疾病	Osteoporosis, Postmenopausal
黄连	相关疾病	Diabetes Mellitus
黄连	相关疾病	Intellectual Disability
黄连	相关疾病	Leukemia, Chronic Myeloid
黄连	相关疾病	Glioblastoma Multiforme
黄连	相关疾病	Chronic Myeloid Leukemia
黄连	相关疾病	Acute Kidney Injury
黄连	相关疾病	Brain Ischemia
黄连	相关疾病	Bronchial Hyperreactivity
黄连	相关疾病	Autoinflammation, Lipodystrophy, And Dermatosis Syndrome
黄连	相关疾病	Cerebrovascular Accident
黄连	相关疾病	Neoplastic Cell Transformation
黄连	相关疾病	Stroke
黄连	相关疾病	Parkinson Disease, Late-Onset
黄连	相关疾病	Cognition Disorders
黄连	相关疾病	Kidney Diseases
黄连	相关疾病	Orthostatic Intolerance
黄连	相关疾病	Mitral Valve Prolapse Syndrome
黄连	相关疾病	Marijuana Abuse
黄连	相关疾病	Neoplasm Recurrence, Local
黄连	相关疾病	Noninfiltrating Intraductal Carcinoma
黄连	相关疾病	Cardiomyopathy, Dilated, 1A
黄连	相关疾病	Cns Disorder
黄连	相关疾病	Coronary Artery Disease
黄连	相关疾病	Gastric Ulcer
黄连	相关疾病	Adult Glioblastoma
黄连	相关疾病	Primary Glioblastoma
黄连	相关疾病	Hyperglycemia
黄连	相关疾病	Chronic Obstructive Asthma
黄连	相关疾病	Asthma, Exercise-Induced
黄连	相关疾病	Digestive System Neoplasms
黄连	相关疾病	Angioedema
黄连	相关疾病	Malignant Neoplasm Of Pancreas
黄连	相关疾病	Pancreatic Cancer
黄连	相关疾病	Pharyngeal Neoplasms
黄连	相关疾病	Cardiomyopathies
黄连	相关疾病	Fibrosis
黄连	相关疾病	Hypertension, Essential
黄连	相关疾病	Congenital Heart Defects
黄连	相关疾病	Cardiac Arrhythmia
黄连	相关疾病	Prostatic Intraepithelial Neoplasias
黄连	相关疾病	Adenoma
黄连	相关疾病	Gastroesophageal Reflux Disease
黄连	相关疾病	Congenital Heart Disease
黄连	潜在联系	Osteoporosis, Postmenopausal
黄连	潜在联系	Liver Carcinoma

