head	rel	tail	score
Compound::DB03404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.016291261
Compound::DB00918	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.021223359
Compound::DB09265	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.029072093
Compound::DB08918	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.030753573
Compound::DB09148	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.050120015
Compound::DB00275	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.054726142
Compound::DB01224	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.055347364
Compound::DB00180	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003550	-0.057825156
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-5.698614597
Compound::DB00222	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-5.73692131
Compound::DB01098	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-5.736923218
Compound::DB00457	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-5.786031723
Compound::DB00215	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-5.817450047
Compound::DB00585	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-6.188683033
Compound::DB00073	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-6.246887684
Compound::DB13928	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-6.29292345
Compound::DB00201	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262	-6.392579556
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.061336096
Compound::DB00380	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.064656459
Compound::DB00876	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.116323605
Compound::DB00381	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.120188087
Compound::DB00457	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.132273167
Compound::DB00999	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943	-0.141771168
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.068906784
Compound::DB00526	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.224976063
Compound::DB09303	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.237866402
Compound::DB01098	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.334598541
Compound::DB00808	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.471087933
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.488289356
Compound::DB00178	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000740	-6.630409718
Compound::DB00615	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.023260314
Compound::DB00380	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.024188936
Compound::DB00334	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.033163067
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.050832462
Compound::DB00999	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.052024033
Compound::DB00339	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.068439715
Compound::DB00855	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333	-0.07118845
Compound::DB00315	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.226956025
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.238336086
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.245313257
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.251522213
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.264845639
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.266476482
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587	-0.267233491
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.216696799
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.231873438
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.252523929
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.256426722
Compound::DB01098	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.257999748
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.271770269
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014923	-0.273223102
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.204195514
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.233001456
Compound::DB00394	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.237480178
Compound::DB00176	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.243269429
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.258338869
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920	-0.266505212
Compound::DB06153	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.000600552
Compound::DB01043	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.003306848
Compound::DB00612	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.004023605
Compound::DB00285	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.00772492
Compound::DB00140	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.01899446
Compound::DB00091	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.022178283
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.025253369
Compound::DB00222	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922	-0.025291216
Compound::DB00380	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-5.94448185
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-5.967789173
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-6.050400734
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-6.243085861
Compound::DB00471	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-6.28655529
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-6.321531296
Compound::DB00535	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924	-6.387561321
Compound::DB01142	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-5.680725098
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-5.880448341
Compound::DB00215	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-5.936300278
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-5.968032837
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-6.124679565
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-6.165413857
Compound::DB00544	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003424	-6.224347115
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.245685503
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.260472149
Compound::DB00966	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.261734068
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.264992028
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.269930005
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008224	-0.270469606
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-24.48160362
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-25.19922829
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-25.97010994
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-26.24855614
Compound::DB00876	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-26.70645714
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014890	-26.73936081
Compound::DB00571	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.001590775
Compound::DB03404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.002168286
Compound::DB00918	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.002520685
Compound::DB08918	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.003037658
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.003158815
Compound::DB00291	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011471	-0.003624958
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.219834894
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.2551606
