head	rel	tail	score
1	6	1107	-0.000393188
1	6	185	-0.003579888
1	1	66	-0.004338692
1	1	78	-0.00488693
1	6	975	-0.00506147
1	1	1521	-0.006094393
1	1	39	-0.009531043
1	6	107	-0.010512617
1	1	329	-0.012794869
1	7	447	-0.015175492
1	1	163	-0.015594776
1	7	413	-0.017848823
261	6	975	-9.65E-06
261	6	185	-0.000142538
261	6	1435	-0.000396004
261	6	245	-0.000858687
261	6	39	-0.000956434
261	6	1276	-0.000980434
261	6	1015	-0.004468854
261	3	1887	-0.006494916
261	6	1415	-0.008932587
261	6	512	-0.009560925
261	6	1479	-0.013526594
261	1	163	-0.015432182
262	1	1521	-2.68E-26
262	1	942	-1.63E-21
262	1	1906	-3.32E-20
262	1	1428	-9.55E-19
262	1	1276	-2.15E-17
262	6	1276	-5.45E-16
262	1	1361	-8.48E-13
262	1	1640	-2.60E-12
262	1	1041	-1.34E-11
262	1	12	-2.30E-11
262	6	975	-3.34E-11
262	1	1616	-2.75E-10
262	1	1185	-5.54E-10
262	6	1107	-1.85E-09
262	1	1729	-2.50E-09
262	1	329	-7.84E-09
264	6	185	-0.001216452
264	6	975	-0.00130152
264	6	1435	-0.001614267
264	6	272	-0.002592168
264	5	1048	-0.003046974
264	6	1276	-0.004760428
264	7	404	-0.007054069
264	3	185	-0.008633113
265	1	1521	-2.50E-10
265	1	942	-2.14E-08
265	1	1276	-2.97E-08
265	1	1906	-8.15E-08
265	1	1428	-5.90E-07
265	1	1640	-3.54E-05
265	1	1361	-8.52E-05
265	1	12	-0.000140433
265	1	1041	-0.000315177
265	1	178	-0.000482987
265	1	1185	-0.000905959
265	1	69	-0.000963384
266	1	1521	-4.07E-10
266	1	942	-3.01E-08
266	1	1906	-1.74E-07
266	6	1276	-2.08E-07
266	1	1276	-2.65E-07
266	1	1428	-1.34E-06
266	6	975	-1.65E-06
266	1	1361	-0.000157345
266	1	12	-0.000216037
266	6	1521	-0.000285996
266	1	1041	-0.000311782
266	1	1640	-0.000312276
266	6	1435	-0.000316183
266	6	1107	-0.000412331
266	5	1048	-0.000480138
266	8	95	-0.000749254
267	1	1521	-8.16E-18
267	1	1428	-1.45E-13
267	1	1906	-4.10E-13
267	6	975	-6.92E-13
267	1	1616	-6.16E-12
267	6	1107	-2.10E-11
267	5	1048	-2.87E-11
267	1	163	-4.75E-10
267	6	1435	-6.71E-10
267	1	329	-8.59E-10
267	6	1276	-1.84E-09
267	1	66	-8.14E-09
267	5	1343	-2.54E-08
268	5	1048	-6.83E-05
268	1	1521	-0.000200231
268	5	1802	-0.000208021
268	5	1715	-0.000332646
268	5	622	-0.000537916
268	6	1107	-0.000927916
268	6	248	-0.001124881
268	5	921	-0.001338221
268	5	2007	-0.001585321
268	5	372	-0.001907576
268	6	437	-0.002344605
269	6	1107	-1.59E-08
269	6	32	-2.17E-07
269	6	437	-2.84E-07
269	6	975	-1.51E-06
269	6	1435	-3.34E-06
269	6	39	-5.70E-06
269	6	185	-1.67E-05
269	1	163	-1.98E-05
269	5	1574	-4.10E-05
269	5	968	-5.20E-05
272	6	1616	-1.86E-14
272	6	1521	-3.12E-11
272	6	1361	-2.13E-10
272	6	1552	-3.64E-10
272	6	1428	-6.69E-09
272	6	12	-1.13E-08
272	6	1906	-2.23E-08
272	1	1521	-3.89E-07
272	1	1616	-4.09E-07
272	6	1276	-1.19E-06
272	6	975	-3.03E-06
272	7	447	-6.61E-06
272	6	1415	-9.11E-06
278	6	1276	-2.13E-11
278	1	1521	-1.02E-09
278	6	1521	-3.49E-08
278	6	975	-4.26E-08
278	1	1906	-5.94E-07
278	6	1906	-1.19E-06
278	6	1361	-8.62E-06
278	6	12	-8.72E-06
278	1	1428	-1.20E-05
278	6	1428	-4.91E-05
278	5	1048	-8.29E-05
278	1	66	-0.000107169
278	7	1107	-0.00011296
278	5	975	-0.000121428
278	5	1912	-0.000164615
278	6	90	-0.0002199
278	6	1435	-0.000305896
278	1	1276	-0.000335076
281	6	1276	-2.46E-06
281	1	1521	-7.58E-06
281	6	975	-1.32E-05
281	5	975	-0.00022076
281	1	1616	-0.000251388
281	6	1521	-0.000419181
281	6	1906	-0.000542043
281	6	1428	-0.000662368
281	6	12	-0.000670545
281	5	1343	-0.000697525
281	5	1048	-0.000822907
281	6	185	-0.001252794
282	1	942	-2.78E-13
282	1	1521	-9.66E-13
282	1	1906	-2.65E-10
282	1	1276	-3.55E-10
282	1	1428	-3.38E-09
282	1	1361	-5.47E-07
282	1	1041	-6.62E-07
282	1	1640	-8.64E-07
282	1	1185	-1.17E-06
282	1	12	-1.72E-06
282	1	1729	-1.73E-05
282	1	178	-5.11E-05
283	6	1276	-8.10E-08
283	6	975	-6.15E-07
283	6	39	-4.19E-05
283	6	185	-4.55E-05
283	6	1435	-5.42E-05
283	6	1906	-0.000250015
283	6	1107	-0.00035356
283	6	329	-0.00043409
283	6	1521	-0.000689993
283	6	1415	-0.001411166
283	6	1361	-0.001784
283	6	688	-0.002385381
283	6	245	-0.002613608
283	6	107	-0.003261454
283	6	12	-0.004339203
283	6	1341	-0.004423533
152	1	1521	-3.82E-05
152	6	1248	-0.000354016
152	1	39	-0.000383327
152	6	437	-0.000671935
152	5	1048	-0.001041521
152	6	975	-0.001124027
152	1	66	-0.001511707
152	1	1616	-0.002472257
152	5	975	-0.002489533
152	6	32	-0.002593161
152	1	69	-0.003761643
152	7	1165	-0.004290204
152	1	163	-0.004418506
