154447-36-6	DB02656
L-Tryptophan	DB00150
Tryptophan	DB00150
Morphine	DB00295
VALPROIC ACID	DB00313
Codeine	DB00318
Avandia	DB00412
05V02F2KDG	DB00412
Nemerol	DB00454
01K63SUP8D	DB00472
fluoxetine	DB00472
haloperidol	DB00502
DIVALPROEX SODIUM	DB00510
l-Methorphan	DB00514
nortriptyline	DB00540
9Y8NXQ24VQ	DB00571
propranolol	DB00571
Testosteron	DB00624
Testosterone	DB00624
estrone	DB00655
Galanthamine	DB00674
apomorphine	DB00714
Apomorphine hydrochloride	DB00714
Hydrocortisone	DB00741
17beta-Oestradiol	DB00783
B-Estradiol	DB00783
Vasodil	DB00797
Propofol	DB00818
(1S,2S)-pseudoephedrine	DB00852
d-pseudoephedrine	DB00852
tacrolimus	DB00864
Cocaine	DB00907
ethinyl estradiol	DB00977
Eserine	DB00981
Femara	DB01006
6490C9U457	DB01058
melatonin	DB01065
3',5,7-trihydroxy-4'-methoxyflavanone	DB01094
hesperitin	DB01094
Papaverine	DB01113
tolbutamide	DB01124
X4OV71U42S	DB01132
doxepin	DB01142
(S)-Citalopram	DB01175
Podophyllotoxin	DB01179
metoclopramide	DB01233
Maxolon	DB01233
(-)-ephedrine	DB01364
Eciphin	DB01364
Ephedrine	DB01364
Yohimbine	DB01392
Bufotenine	DB01445
N,N-Dimethyltryptamine	DB01488
Hydroxychloroquine	DB01611
dehydroepiandrosterone	DB01708
Selagine	DB01928
Huperzine A	DB01928
N-butylbenzenesulphonamide	DB02055
TES	DB02371
quinaldic acid	DB02428
Resveratrol	DB02709
PLO	DB02789
4-methoxybenzoic acid	DB02795
Etiocholanone	DB02854
DEXPROPRANOLOL	DB03322
naringenine	DB03467
(S)-naringenin	DB03467
4',7-Dihydroxyflavanone	DB03601
phenacetin	DB03783
4-Heptylphenol	DB03941
hydroxycinnamic acid	DB04066
p-Coumaric acid	DB04066
Berberine	DB04115
Matairesinol	DB04200
isoformononetin	DB04202
NSC 122421	DB04452
Estriol	DB04573
aldosterone	DB04630
Corticosterone	DB04652
tetrabenazine	DB04844
Fordine	DB04864
Onglyza	DB06335
Saxagliptin	DB06335
17-methyltestosterone	DB06710
3-Hydroxy-4-methoxycinnamic acid	DB07109
(E)-ferulic acid	DB07767
4-Hydroxy-3-methoxycinnamic acid	DB07767
Indole-3-acetic acid	DB07950
L20	DB08073
Colchicine	DB08117
Sakuranetin	DB08517
4-Hydroxy-3,5-dimethoxycinnamic acid	DB08587
Sinapic acid	DB08587
Methyl syringate	DB08589
Tryptamine	DB08653
Methyl vanillate	DB08711
N-Methylmescaline	CHEBI:7319
Pinosylvin	CHEBI:17323
(-)-Medicarpin	CHEBI:100
Warburganal	CHEBI:10032
Wogonin	CHEBI:10043
Xanthoxylin	CHEBI:10070
Xylopine	CHEBI:10083
Xylopinine	CHEBI:10084
Yangonin	CHEBI:10089
