Thyrotoxicosis	D013971
Wiskott-Aldrich Syndrome	D014923
Cholangiocarcinoma	D018281
Beta-Thalassemia Major	D017086
Bile Acid Synthesis Defect, Congenital, 3	C566340
Alpha-1-Antitrypsin Deficiency	D019896
Chronic Myeloid Leukemia	D015464
Dpagt1-Cdg	C535748
Tuberculosis	D014376
Congenital Bile Acid Synthesis Defect Type 1	C535442
Neonatal Ichthyosis-Sclerosing Cholangitis Syndrome	C564365
Griscelli Syndrome, Type 2	C537302
Sickle Cell Anemia	D000755
Dominant Beta-Thalassemia	C565834
Budd-Chiari Syndrome	D006502
Cholesteryl Ester Storage Disease	D015217
Wilson Disease	D006527
Osteogenic Sarcoma	D012516
Dubin-Johnson Syndrome	D007566
Hyperbilirubinemia, Rotor Type	D006933
Bile Acid Synthesis Defect, Congenital, 2	C535443
Glycogen Storage Disease Vii	D006014
Classic Galactosemia	D005693
Epiphyseal Dysplasia, Multiple, With Early-Onset Diabetes Mellitus	C536739
Cystic Fibrosis	D003550
Chediak-Higashi Syndrome	D002609
Autosomal Erythropoietic Protoporphyria	D046351
Hereditary Coproporphyria	D046349
Nephropathic Infantile Cystinosis	C565655
Mevalonic Aciduria	D054078
Alg8-Cdg	C535746
Permanent Neonatal Diabetes Mellitus	C563425
Dend Syndrome	C565253
Propionic Acidemia	D056693
Mpi-Cdg	C535740
Congenital Disorder Of Glycosylation, Type Id	C535742
Carnitine Palmitoyltransferase Ii Deficiency, Infantile	C563462
Pituitary Adenoma, Prolactin-Secreting	D015175
Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes	D017241
Ornithine Transcarbamylase Deficiency	D020163
Fabry Disease	D000795
Cerebral Creatine Deficiency Syndrome 1	C535598
Lysosomal Acid Lipase Deficiency	D015223
Smith-Lemli-Opitz Syndrome	D019082
Hyper-Igd Syndrome	D054078
Papilloma Of Choroid Plexus	D020288
Multiple Myeloma	D009101
Holocarboxylase Synthetase Deficiency	D028922
Biotinidase Deficiency	D028921
Isolated Complex I Deficiency	C537475
Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0	C565390
Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome	C536138
Chylomicron Retention Disease	C535460
Isovaleric Acidemia	C538167
Carbamoyl-Phosphate Synthetase 1 Deficiency	D020165
Glutaryl-Coa Dehydrogenase Deficiency	C536833
Familial Dysautonomia	D004402
Carnitine Deficiency, Systemic Primary	C536778
Argininosuccinic Aciduria	D056807
Argininemia	D020162
Alpers-Huttenlocher Syndrome	D002549
Congenital Adrenal Hyperplasia Due To 11-Beta-Hydroxylase Deficiency	C535978
Acute Intermittent Porphyria	D017118
Peutz-Jeghers Syndrome	D010580
Huntington Disease	D006816
Periodic Fever, Familial, Autosomal Dominant	C536657
Reticular Dysgenesis	C538361
Adult Polyglucosan Body Disease	C564878
Hereditary Sensory And Autonomic Neuropathy Type 4	D009477
Juvenile Hyaline Fibromatosis	D057770
Takayasu Arteritis	D013625
Acrogeria	C538187
Acrodermatitis Enteropathica	C538178
Giant Cell Arteritis	D013700
Blau Syndrome	C538157
Prolidase Deficiency	D056732
Enchondromatosis	D004687
Familial Multiple Nevi Flammei	D019339
Aplasia Cutis Congenita	D004476
Adult Syndrome	C538052
Perry Syndrome	C566822
Insulinoma	D007340
15Q24 Microdeletion Syndrome	C579849
Williams-Beuren Syndrome	D018980
Generalized Congenital Lipodystrophy With Myopathy	C567642
Familial Neurocardiogenic Syncope	C536849
Multiple Endocrine Neoplasia Type 4	C567059
Mednik Syndrome	C563739
Stevens-Johnson Syndrome	D013262
Familial Gestational Hyperthyroidism	C566384
X-Linked Lissencephaly With Abnormal Genitalia	C564563
Polycythemia Vera	D011087
Carnitine Palmitoyl Transferase 1A Deficiency	C535588
Nijmegen Breakage Syndrome	D049932
Thiamine-Responsive Megaloblastic Anemia Syndrome	C536510
Folate Malabsorption, Hereditary	C562799
Cerebrotendinous Xanthomatosis	D019294
Bloom Syndrome	D001816
