Bao Fa Huo Yan	暴发火眼
Bao Zhu Xia Xie	暴注下泻
Bi Sai	鼻塞
Bian Huang Er Nian	便黄而黏
Bian Mi	便秘
Bu Mei	不寐
Bu Xi Re Yin	不喜热饮
Cao Za	嘈杂
Cao Za Ou Tu	嘈杂呕吐
Chi Bai Xia Li	赤白下痢
Chuang Jie Zhong Tong	疮疖肿痛
Chuang Zhong	疮肿
Da Bian Mi Jie	大便秘结
Da Bian Nong Xie	大便脓血
Du Xie Wei Jin	毒邪未尽
Duo Shi	多食
Er Dao Liu Nong	耳道流脓
Er Lou	耳漏
Er Ming	耳鸣
Er Nei Liu Nong	耳内流脓
Fa Re	发热
Fan Tu Qing Shui	泛吐清水
Feng Re Gan Mao	风热感冒
Gan Mao	感冒
Gang Men Zhuo Re	肛门灼热
Gao Re	高热
Gao Re Bu Tui	高热不退
Gao Re Shen Hun	高热神昏
Gao Re	髙热
Gao Re Bu Tui	髙热不退
Hou Zhong	喉肿
Huang Dan	黄疸
Ji Zao Yi Nu	急躁易怒
Liang Kong	惊恐
Ke Sou	咳嗽
Kou Chuang	口疮
Kou She Sheng Chuang	口舌生疮
Lan Yan	懒言
Li Ji Hou Zhong	里急后重
Li Ji	痢疾
Liu Lei	流泪
Liu Nong	流脓
Liu Zhuo Ti	流浊涕
Mai Xian Xi	脉弦细
Mian Cha	眠差
Mu Chi	目赤
Mu Chi Zhong Tong	目赤肿痛
Mu Fa Huang	目发黄
Mu Xuan	目眩
Na Dai	纳呆
Niao Chi	尿赤
Niao Huang	尿黄
Niao Huang Ru Cha	尿黄如茶
Nu Rou Pan Jing	胬肉攀睛
Nv Xie	衄血
Ou Tu	呕吐
Ou Tu Qing Shui	呕吐清水
Ou Tu Ru Shi	呕吐乳食
Ou Tu Tun Suan	呕吐吞酸
Pi Fu Huang Ran	皮肤黄染
Pi Fu Shi Lan	皮肤湿烂
Pi Man	痞满
Qu Chi Teng Tong	龋齿疼痛
Shan Ji	善饥
Shao Jin	少津
Shao Mei	少寐
She Hong Tai Huang Ni	舌红苔黄腻
She Sheng Chuang	舌生疮
She Ti Pang Da	舌体胖大
She Ti Zhong	舌体肿
She Zhi Dan An	舌质淡暗
She Zhi Hong Shao Jin	舌质红少津
Shen Huang	身黄
Shen Mu Fa Huang	身目发黄
Shen Hun	神昏
Shen Zhi Bu Qing	神志不清
Shen Zhi Hun Meng	神志昏蒙
Shen Zhi Hun Mi	神志昏迷
Shen Zhi Hun Luan	神志混乱
Shi Chuang	湿疮
Shi Re Xia Zhu	湿热下注
Shi Zhen	湿疹
Shi Wu Hun An	视物昏暗
Shui Jiang Nan Xia	水浆难下
Shui Wo Bu An	睡卧不安
Tong Kong San Da	瞳孔散大
Tou Bu Jie Zhong	头部疖肿
Tou Tong	头痛
Tou Yun	头晕
Tou Yun Mu Xuan	头晕目眩
Tu Nv	吐衄
Tu Xie	吐泻
Tu Xie	吐血
Tun Suan	吞酸
Wei Re	畏热
Wei Guan Cao Za	胃脘嘈杂
Wei Guan Cao Za Bu Shi	胃脘嘈杂不适
Xiao Ke	消渴
Xiao Bian Duan Chi	小便短赤
Xie Li	泻痢
Xin Fan	心烦
Xin Fan Bu Mei	心烦不寐
Xin Fan Bu Ning	心烦不宁
Xin Huang	心慌
Xin Ji	心悸
Xin Ji Bu An	心悸不安
Xin Ji Bu Ning	心悸不宁
Xing Ti Fei Pang	形体肥胖
Xiong Bu Men Tong	胸部闷痛
Xiong Zhong Men Re	胸中闷热
Xiong Zhong Men Tong	胸中闷痛
Xiu Ming	羞明
Xiu Ming Liu Lei	羞明流泪
Xie Re Tu Niu	血热吐紐
Xie Re Tu Nv	血热吐衄
Ya Tong	牙痛
Ya Ken Zhong	牙龈肿
Ya Ken Zhong Tong	牙龈肿痛
Yan Hong Zhong Tong	咽红肿痛
Yan Hou Zhong	咽喉肿
Yan Hou Zhong Tong	咽喉肿痛
Yan Tong	咽痛
Yan Bian Ci Yang	眼边刺痒
Yao Fu Teng Tong	腰腹疼痛
Ye Mei Bu An	夜寐不安
Ye Mian Bu An	夜眠不安
Ye Mian Bu Ning	夜眠不宁
Yi Ji	易饥
Yong Zhong	痈肿
Zhong Tong	肿痛
Zhuo Re	灼热
Zhuo Ti	浊涕
Ding Chuang	疔疮
Da Bian Gan Jie	大便干结
Da Bian Gan Jie Nan Xia	大便干结难下
Da Bian Zao Jie	大便燥结
Kou Gan	口干
Kou Ke Xi Yin	口渴喜饮
Kou She Gan Zao	口舌干燥
Kou Sheng Chuang	口生疮
Mian Hong	面红
She Hong	舌红
She Jian Hong	舌尖红
She Mi Lan	舌糜烂
She Pian Hong	舌偏红
Xiao Bian Chi Se	小便赤涩
Xin Qi Tong	心气痛
Xin Tong	心痛
Xie Re	血热
Ye Liang	夜惊
Ye Ti	夜啼
Zhi Ti Xiong Tong	肢体胸痛
Bu Mian	不眠
Fu Ren Zang Zao	妇人脏躁
Xie Re Fa Ban	血热发斑
Xie Re Fa Zhen	血热发疹
Xie Re Tu Xie	血热吐血
Dai Xia Se Huang	带下色黄
Dai Xia Se Huang Zhi Chou	带下色黄质稠
E Xin	恶心
Er Long	耳聋
Er Xia Zhong Tong	耳下肿痛
Fa Shao	发烧
Fu Zhang	腹胀
Fu Zhang Man	腹胀满
Gan Qu Zhang Tong	肝区胀痛
Guan Jie Hong Zhong Re Tong	关节红肿热痛
Ji Rou Hong Zhong Re Tong	肌肉红肿热痛
Jie Zhong	疖肿
Jing Shui Lin Li Bu Jing	经水淋漓不净
Kou Ku	口苦
Kou She Zhong Tong	口舌肿痛
Liang Xie Zhang Tong	两胁胀痛
Lin Li Teng Tong	淋沥疼痛
Lin Zheng Se Tong	淋证涩痛
Lin Zhuo	淋浊
Liu Huang Chou Ti	流黄稠涕
Liu Nong Ti	流脓涕
Mao Fa You Ni	毛发油腻
Mian Mu Xi Huang	面目悉黄
Mu Huang	目黄
Na Cha	纳差
Nian Ye Bian	黏液便
Niao Dao Zhuo Re	尿道灼热
Niao Hun Zhuo	尿混浊
Niao Ji	尿急
Niao Re	尿热
Niao Se Chi Huang	尿色赤黄
Niao Se Pian Huang	尿色偏黄
Niao Tong	尿痛
Nong Fu Jiang Jing	脓腐将荆
Nong Pao	脓疱
Nong Shui	脓水
Nong Tan	脓痰
Pi Fu Kui Yang	皮肤潰疡
Pi Fu Mi Lan	皮肤糜烂
Pi Fu Nian Mo Po Kui	皮肤黏膜破溃
Pi Fu Shi Zhen	皮肤湿疹
Pi Sun Cheng Hong Ban Shi Run	皮损呈红斑湿润
Pi Men	痞闷
Qian Biao Nong Pao	浅表脓疱
Re Bi Teng Tong	热痹疼痛
Re Du Xie Li	热毒泻痢
Re Du Xie Li	热毒血痢
Re Li	热痢
Re Lin Se Tong	热淋涩痛
Re Lin Zheng	热淋证
She Pang	舌胖
She You Chi Hen	舌有齿痕
Shen Kun Zhong	身困重
Shen Re	身热
Shi Bi Ju Luan	湿痹拘挛
Shi Chuang Nong Shui Jin Yin	湿疮脓水浸淫
Shi Re Du Xie Ju Jie Ji Fu	湿热毒邪聚结肌肤
Shi Lin	石淋
Shi Lin Se Tong	石淋涩痛
Shu Xie Fa Re	暑邪发热
Sou Tong	嗖痛
Sou Huang	溲黄
Ting Shuai	听衰
Tou Shen Kun Zhong	头身困重
Tou Tong Ru Guo	头痛如裹
Tou Zhong	头重
Tu Nong	吐脓
Wai Yin Hong Zhong	外阴红肿
Guan Fu Pi Man	脘腹痞满
Guan Fu Pi Men	脘腹痞闷
Guan Pi	脘痞
Xi Suan Tong	膝酸痛
Xia Fu Zhang Tong	下腹胀痛
Xia Li Chou Hui	下痢臭秽
Xia Li Nong Xie	下痢脓血
Xia Xie	下血
Xia Zhi Chen Zhong	下肢沉重
Xiao Bian Bai Zhuo	小便白浊
Xiao Bian Di Li Bu Jing	小便滴沥不净
Xiao Bian Huang	小便黄
Xiao Bian Huang Shao	小便黄少
Xiao Bian Hun Zhuo	小便浑浊
Xiao Bian Lin Zhuo	小便淋浊
Xiao Bian Se Tong	小便涩痛
Xiao Bian Tong	小便痛
Xiao Er Ji Liang	小儿急惊
Xiao Fu Man	小腹满
Xiao Fu Zhang	小腹胀
Xiao Fu Zhang Tong	小腹胀痛
Xie Lei Bu Teng Tong	胁肋部疼痛
Xie Lei Teng Tong	胁肋疼痛
Xie Xia Pi Kuai	胁下痞块
Xie Xie	泄泻
Xie Xie Ji Po	泄泻急迫
Xiong Fu Zhang Man	胸腹胀满
Xiong Fu Zhang Men	胸腹胀闷
Xiong Fu Zhang Tong	胸腹胀痛
Xiong Ge Pi Man	胸膈痞满
Xiong Ge Pi Men	胸膈痞闷
Xiong Ge Pi Sai	胸膈痞塞
Xiong Man Yu Men	胸满郁闷
Xiong Pi	胸痞
Xiong Guan Man Men	胸脘满闷
Xiong Guan Pi Men	胸脘痞闷
Xiong Guan Zhang Man	胸脘胀满
Xiong Guan Zhang Men	胸脘胀闷
Xiong Xie Men Tong	胸胁闷痛
Xiong Xie Pi Men	胸胁痞闷
Xiong Xie Zhang Tong	胸胁胀痛
Xiong Zhang Man	胸胀满
Xiong Zhong Bie Men	胸中憋闷
Xiong Zhong Man Men	胸中满闷
Xie Lin	血淋
Xie Niao	血尿
Yin Nang Shi Yang	阴囊湿痒
Yin Yang	阴痒
Yue Jing Liang Duo ， Wei Chou	月经量多，味臭
Zhang Tong	胀痛
Zheng Jia Pi Kuai	癥瘕痞块
Zhi Ti Chen Zhong	肢体沉重
Zhi Ti Kun Zhong	肢体困重
Zhi Ti Suan Zhong	肢体酸重
Zhuo Tong	灼痛
Zu Jing Hong Zhong Re Tong	足胫红肿热痛
Zu Xi Hong Zhong Re Tong	足膝红肿热痛
